formatted_date,articles,sentiment
2023-08-01,2,0
2023-08-02,5,-1
2023-08-03,3,-1
2023-08-04,2,-2
2023-08-11,1,-1
2023-08-15,1,1
2023-08-23,1,-1
2023-08-24,1,-1
2023-09-20,1,-1
2023-09-21,1,-1
2023-09-28,1,1
2023-10-10,1,-1
2023-10-12,1,1
2023-11-01,1,-1
2023-11-02,5,-3
2023-11-03,2,-2
2023-11-08,1,-1
2023-11-09,1,1
2023-11-20,1,-1
2023-11-21,1,1
2023-11-22,2,-2
2023-11-24,1,-1
2023-11-27,3,-1
2023-12-05,1,-1
2023-12-18,1,-1
2023-12-19,1,1
2023-12-25,1,1
2024-01-06,1,1
2024-01-08,1,1
2024-01-11,1,-1
2024-01-17,1,1
2024-02-01,1,1
2024-02-09,20,-20
2024-02-20,1,-1
2024-02-22,2,2
2024-02-26,1,1
2024-02-27,3,3
2024-03-06,1,1
2024-03-13,3,-1
2024-03-14,5,-1
2024-03-15,1,-1
2024-03-22,1,1
2024-03-25,2,-2
2024-04-10,2,0
2024-04-11,2,-2
2024-04-15,2,0
2024-04-16,3,-3
2024-04-22,1,-1
2024-05-06,1,-1
2024-05-07,6,-2
2024-05-08,3,-3
2024-05-16,1,1
2024-05-19,1,1
2024-05-20,1,1
2024-05-28,1,-1
2024-06-21,1,-1
2024-06-27,1,1
2024-07-20,1,-1
2024-07-22,1,-1
2024-07-25,1,-1
