formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-03,5,1
2023-08-28,1,-1
2023-08-30,1,-1
2023-09-05,1,1
2023-10-13,1,1
2023-11-07,1,-1
2023-11-09,6,-4
2023-11-13,1,1
2023-12-12,1,-1
2024-01-05,4,2
2024-01-16,1,-1
2024-02-26,1,1
2024-02-28,2,2
2024-02-29,1,1
2024-03-04,1,1
2024-03-13,1,-1
2024-03-18,1,1
2024-03-21,5,3
2024-03-23,1,-1
2024-03-24,1,1
2024-04-09,2,0
2024-04-10,2,0
2024-04-12,1,1
2024-04-15,1,1
2024-04-16,3,3
2024-04-17,1,-1
2024-04-24,1,-1
2024-04-25,7,-1
2024-04-30,1,-1
2024-05-12,1,1
2024-05-13,4,0
2024-05-14,3,-1
2024-05-15,1,1
2024-05-23,1,-1
2024-05-27,2,0
2024-05-28,2,2
2024-05-29,1,-1
2024-05-30,1,1
2024-06-03,1,-1
2024-06-09,1,-1
2024-06-19,1,-1
2024-07-12,1,-1
