formatted_date,articles,sentiment
2023-08-02,2,2
2023-08-03,5,-1
2023-08-04,5,-1
2023-08-05,2,2
2023-08-07,3,3
2023-08-11,1,1
2023-08-12,1,1
2023-08-24,3,-1
2023-08-25,2,2
2023-08-28,1,1
2023-09-01,1,1
2023-09-18,1,1
2023-10-06,1,-1
2023-10-12,1,1
2023-10-13,1,-1
2023-10-24,2,2
2023-10-31,1,1
2023-11-01,1,1
2023-11-06,2,0
2023-11-07,3,-1
2023-11-08,4,-2
2023-11-09,4,2
2023-11-14,1,1
2023-11-27,2,-2
2023-11-30,2,-2
2023-12-08,1,1
2023-12-13,1,-1
2023-12-14,1,1
2023-12-19,1,1
2023-12-21,1,-1
2023-12-23,1,-1
2024-01-02,1,1
2024-01-03,10,6
2024-01-04,6,6
2024-01-08,1,1
2024-01-09,1,1
2024-01-13,1,-1
2024-01-18,3,-1
2024-01-24,1,1
2024-01-25,1,-1
2024-01-29,1,-1
2024-01-31,1,1
2024-02-02,2,2
2024-02-06,24,-16
2024-02-08,1,1
2024-02-09,1,1
2024-02-12,1,1
2024-02-14,1,1
2024-02-19,1,-1
2024-02-20,1,1
2024-02-21,3,-1
2024-02-22,7,-1
2024-02-23,5,-1
2024-02-24,1,1
2024-02-26,3,3
2024-02-27,1,1
2024-02-28,1,-1
2024-02-29,2,0
2024-03-01,1,1
2024-03-12,1,-1
2024-03-13,1,1
2024-03-18,4,0
2024-03-26,1,1
2024-04-03,1,1
2024-04-09,1,1
2024-04-11,5,5
2024-04-12,1,-1
2024-04-17,1,-1
2024-04-25,1,-1
2024-04-29,4,2
2024-05-02,1,1
2024-05-03,1,1
2024-05-07,1,1
2024-05-08,5,1
2024-05-09,8,-2
2024-05-10,9,-1
2024-05-13,3,3
2024-05-29,1,1
2024-05-30,1,-1
2024-06-06,3,1
2024-06-07,1,1
2024-06-09,1,1
2024-06-10,1,-1
2024-06-13,2,-2
2024-06-16,1,1
2024-06-20,1,1
2024-06-24,1,1
2024-07-17,1,-1
2024-07-25,2,-2
