formatted_date,articles,sentiment
2023-08-07,2,0
2023-08-21,3,-3
2023-08-29,1,1
2023-08-30,1,1
2023-09-06,1,1
2023-09-12,1,-1
2023-09-20,1,1
2023-10-12,1,-1
2023-11-07,1,1
2023-11-08,1,-1
2023-11-20,2,-2
2023-11-29,1,1
2023-11-30,1,1
2023-12-03,1,-1
2024-01-04,1,1
2024-02-19,1,-1
2024-02-20,1,-1
2024-02-28,1,1
2024-02-29,1,1
2024-03-02,1,-1
2024-03-06,1,-1
2024-03-28,3,1
2024-04-18,1,1
2024-04-21,1,1
2024-05-10,3,-1
2024-05-13,1,-1
2024-05-14,1,-1
2024-05-26,1,-1
2024-05-27,1,-1
2024-06-03,1,1
2024-06-16,1,1
