formatted_date,articles,sentiment
2023-08-01,2,2
2023-08-04,1,-1
2023-08-06,3,1
2023-08-07,5,1
2023-08-08,4,2
2023-08-10,1,-1
2023-08-11,1,-1
2023-08-15,4,4
2023-08-16,1,1
2023-08-18,5,1
2023-08-21,1,1
2023-08-23,1,1
2023-08-31,1,1
2023-09-05,2,2
2023-09-06,9,-5
2023-09-07,4,0
2023-09-08,1,1
2023-09-11,1,-1
2023-09-12,1,1
2023-09-14,1,1
2023-09-15,5,-1
2023-09-16,1,-1
2023-09-17,1,-1
2023-09-18,13,7
2023-09-19,4,2
2023-09-21,1,1
2023-09-22,1,1
2023-09-25,1,1
2023-09-27,1,-1
2023-09-28,2,0
2023-10-02,1,1
2023-10-04,1,1
2023-10-09,4,4
2023-10-11,1,1
2023-10-13,2,2
2023-10-18,2,2
2023-10-23,1,1
2023-10-24,2,0
2023-10-25,1,1
2023-10-26,1,1
2023-11-05,3,1
2023-11-06,4,4
2023-11-07,7,-3
2023-11-08,2,0
2023-11-09,1,-1
2023-11-11,1,-1
2023-11-13,3,-1
2023-11-14,3,-3
2023-11-16,2,-2
2023-11-18,3,1
2023-11-19,1,-1
2023-11-20,3,-1
2023-11-21,2,-2
2023-11-22,1,-1
2023-11-25,2,-2
2023-11-26,2,0
2023-11-27,2,-2
2023-11-28,3,-3
2023-11-30,5,-1
2023-12-01,1,-1
2023-12-04,3,1
2023-12-05,4,0
2023-12-06,1,-1
2023-12-10,2,0
2023-12-11,1,-1
2023-12-12,2,-2
2023-12-14,2,-2
2023-12-16,2,-2
2023-12-18,4,-2
2023-12-19,3,1
2023-12-20,1,-1
2023-12-21,4,-2
2023-12-22,3,1
2023-12-23,1,1
2023-12-26,2,-2
2023-12-27,1,1
2023-12-28,2,2
2023-12-30,1,-1
2024-01-02,3,1
2024-01-04,2,0
2024-01-06,2,0
2024-01-09,8,-2
2024-01-10,18,2
2024-01-11,8,4
2024-01-12,1,-1
2024-01-16,3,-3
2024-01-17,1,-1
2024-01-19,1,-1
2024-01-21,1,-1
2024-01-22,1,-1
2024-01-23,1,1
2024-01-24,1,-1
2024-01-25,1,-1
2024-01-30,1,-1
2024-01-31,7,5
2024-02-01,1,1
2024-02-05,17,-5
2024-02-07,1,-1
2024-02-09,1,-1
2024-02-12,1,1
2024-02-13,1,1
2024-02-20,1,1
2024-02-23,2,0
2024-02-27,4,0
2024-02-28,4,0
2024-02-29,8,4
2024-03-01,1,1
2024-03-08,2,0
2024-03-14,2,2
2024-03-19,2,0
2024-03-20,3,1
2024-03-28,1,1
2024-03-29,1,-1
2024-04-02,1,1
2024-04-08,1,-1
2024-04-09,6,2
2024-04-10,13,1
2024-04-11,1,1
2024-04-19,1,-1
2024-04-22,1,-1
2024-04-26,1,-1
2024-04-30,3,1
2024-05-07,3,1
2024-05-08,3,3
2024-05-09,9,7
2024-05-10,3,1
2024-05-12,1,-1
2024-05-21,1,1
2024-05-23,1,-1
2024-05-29,1,-1
2024-06-05,1,1
2024-06-06,1,1
2024-06-11,1,-1
2024-06-17,1,1
2024-06-20,1,-1
2024-06-21,1,-1
2024-06-23,1,-1
2024-06-24,3,3
2024-07-09,1,1
2024-07-15,1,1
2024-07-22,1,-1
