formatted_date,articles,sentiment
2023-08-01,1,-1
2023-08-03,2,-2
2023-08-07,1,1
2023-08-09,2,0
2023-08-10,1,-1
2023-08-12,1,1
2023-08-15,1,1
2023-08-16,1,-1
2023-08-17,1,-1
2023-08-28,1,1
2023-08-31,1,-1
2023-09-01,1,-1
2023-09-03,1,-1
2023-09-05,1,-1
2023-09-11,1,-1
2023-09-21,1,-1
2023-09-29,1,-1
2023-10-02,2,0
2023-10-03,1,-1
2023-10-05,1,-1
2023-10-11,2,2
2023-10-17,2,-2
2023-10-18,1,1
2023-10-19,1,-1
2023-10-20,1,1
2023-10-23,1,1
2023-10-24,3,3
2023-10-26,1,1
2023-10-31,2,-2
2023-11-01,2,0
2023-11-02,1,-1
2023-11-15,1,-1
2023-11-17,2,-2
2023-11-26,1,1
2023-11-30,1,-1
2023-12-01,3,1
2023-12-04,1,-1
2023-12-05,2,0
2023-12-08,1,-1
2023-12-09,1,-1
2023-12-10,1,-1
2023-12-11,1,1
2023-12-15,1,1
2023-12-20,1,-1
2023-12-27,1,-1
2023-12-28,1,-1
2023-12-29,1,-1
2024-01-02,2,-2
2024-01-03,1,-1
2024-01-08,1,1
2024-01-12,1,-1
2024-01-17,1,1
2024-01-19,2,0
2024-01-21,1,1
2024-01-22,1,1
2024-01-23,1,-1
2024-01-25,1,-1
2024-01-27,1,1
2024-01-28,1,-1
2024-01-30,1,1
2024-01-31,1,-1
2024-02-01,1,-1
2024-02-02,1,-1
2024-02-05,1,-1
2024-02-08,2,2
2024-02-13,1,1
2024-02-15,1,-1
2024-02-16,1,-1
2024-02-21,2,-2
2024-02-22,3,1
2024-02-25,1,1
2024-02-29,2,-2
2024-03-01,2,-2
2024-03-05,1,-1
2024-03-07,2,-2
2024-03-11,1,1
2024-03-13,1,-1
2024-03-24,1,1
2024-03-28,1,-1
2024-04-01,1,-1
2024-04-02,1,-1
2024-04-07,1,1
2024-04-08,1,-1
2024-04-14,2,-2
2024-04-18,3,1
2024-04-19,1,1
2024-04-22,1,1
2024-04-24,1,-1
2024-04-25,1,1
2024-04-26,1,1
2024-04-30,2,-2
2024-05-01,1,-1
2024-05-02,1,-1
2024-05-03,1,1
2024-05-31,2,0
2024-06-03,2,-2
2024-06-04,1,-1
2024-06-05,1,-1
2024-06-06,1,1
2024-06-09,1,1
2024-06-10,3,1
2024-06-11,1,1
2024-06-24,2,0
2024-06-28,2,0
2024-07-01,1,-1
2024-07-03,1,-1
2024-07-21,1,1
2024-07-22,1,-1
2024-07-23,1,-1
