formatted_date,articles,sentiment
2023-08-02,3,1
2023-08-03,2,0
2023-08-04,10,-4
2023-08-05,1,-1
2023-08-07,1,1
2023-08-21,1,-1
2023-09-17,1,1
2023-09-21,1,1
2023-09-29,1,1
2023-10-02,1,-1
2023-10-04,1,1
2023-10-16,2,0
2023-10-17,1,1
2023-10-18,1,1
2023-10-25,1,1
2023-10-30,1,1
2023-11-01,2,0
2023-11-02,3,1
2023-11-03,10,-2
2023-11-05,1,-1
2023-11-14,2,0
2023-11-17,1,1
2023-11-20,1,1
2023-11-25,1,-1
2023-11-29,1,1
2023-11-30,1,-1
2023-12-01,1,1
2023-12-06,1,-1
2023-12-08,1,1
2023-12-15,1,1
2023-12-20,1,1
2024-01-15,1,1
2024-02-02,1,1
2024-02-05,1,1
2024-02-06,22,-18
2024-02-09,1,1
2024-02-13,1,1
2024-02-21,1,1
2024-02-27,2,2
2024-02-28,8,-2
2024-02-29,1,-1
2024-03-01,2,-2
2024-03-06,2,0
2024-03-08,1,1
2024-04-11,2,0
2024-05-02,2,2
2024-05-03,11,1
2024-05-04,2,-2
2024-05-06,4,4
2024-05-13,1,1
2024-05-14,2,2
2024-05-15,1,-1
2024-05-24,1,1
2024-06-03,2,0
2024-06-06,1,-1
2024-06-08,1,-1
2024-06-29,1,1
2024-07-11,1,-1
2024-07-18,1,1
