formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-07,1,1
2023-08-09,1,-1
2023-08-15,1,-1
2023-08-16,1,1
2023-08-18,2,2
2023-08-22,1,1
2023-09-06,1,1
2023-09-26,1,-1
2023-09-29,1,1
2023-10-02,5,-1
2023-10-11,2,-2
2023-10-13,2,0
2023-10-17,1,-1
2023-10-18,1,-1
2023-10-19,2,2
2023-10-26,1,-1
2023-10-30,1,1
2023-11-06,1,-1
2023-11-14,2,2
2023-11-19,1,1
2023-12-01,1,-1
2023-12-06,1,1
2023-12-07,2,-2
2023-12-15,1,1
2023-12-18,1,1
2023-12-27,1,-1
2024-01-02,2,2
2024-01-08,2,2
2024-01-09,1,-1
2024-01-11,2,-2
2024-01-15,1,1
2024-01-17,1,1
2024-01-18,1,1
2024-01-19,1,1
2024-01-23,2,2
2024-01-29,2,-2
2024-02-01,1,-1
2024-02-06,1,-1
2024-02-09,1,-1
2024-02-12,1,-1
2024-02-15,1,1
2024-02-22,2,2
2024-02-27,1,1
2024-02-29,1,1
2024-03-07,1,1
2024-03-27,1,1
2024-04-01,2,2
2024-04-02,1,1
2024-05-10,2,2
2024-06-07,1,1
2024-07-01,1,1
