formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-02,1,-1
2023-08-03,1,-1
2023-08-04,2,0
2023-08-07,4,-2
2023-08-08,1,-1
2023-08-09,1,-1
2023-08-10,1,-1
2023-08-11,1,-1
2023-08-14,2,2
2023-08-15,1,-1
2023-08-16,1,-1
2023-08-17,1,1
2023-08-18,1,-1
2023-08-21,1,-1
2023-08-22,1,-1
2023-08-23,1,-1
2023-08-24,1,-1
2023-08-25,1,1
2023-08-28,1,-1
2023-08-29,1,1
2023-08-30,1,-1
2023-08-31,1,-1
2023-09-01,1,-1
2023-09-05,1,-1
2023-09-06,1,-1
2023-09-07,1,1
2023-09-08,1,-1
2023-09-11,1,-1
2023-09-12,1,1
2023-09-13,1,1
2023-09-14,1,-1
2023-09-15,1,-1
2023-09-18,1,1
2023-09-19,1,-1
2023-09-20,2,0
2023-09-21,2,0
2023-09-22,2,-2
2023-09-25,1,-1
2023-09-26,1,1
2023-09-27,3,-1
2023-09-28,1,-1
2023-09-29,1,1
2023-10-02,3,-1
2023-10-03,1,1
2023-10-04,1,-1
2023-10-05,1,-1
2023-10-06,1,-1
2023-10-09,1,1
2023-10-10,3,-1
2023-10-11,1,1
2023-10-12,1,1
2023-10-13,1,1
2023-10-16,1,-1
2023-10-17,1,-1
2023-10-18,1,1
2023-10-19,1,-1
2023-10-20,1,-1
2023-10-23,1,-1
2023-10-24,1,-1
2023-10-25,1,-1
2023-10-26,3,1
2023-10-27,1,-1
2023-10-30,1,-1
2023-10-31,1,1
2023-11-01,3,3
2023-11-02,1,1
2023-11-03,1,1
2023-11-06,1,1
2023-11-07,1,-1
2023-11-08,1,-1
2023-11-09,1,-1
2023-11-10,1,-1
2023-11-13,1,1
2023-11-14,1,-1
2023-11-15,1,-1
2023-11-16,1,-1
2023-11-17,1,-1
2023-11-20,1,-1
2023-11-21,1,1
2023-11-22,1,-1
2023-11-23,1,1
2023-11-26,2,0
2023-11-27,3,1
2023-11-28,1,-1
2023-11-29,1,-1
2023-11-30,1,-1
2023-12-01,2,-2
2023-12-03,1,-1
2023-12-04,2,-2
2023-12-05,16,0
2023-12-06,2,0
2023-12-07,2,-2
2023-12-08,2,-2
2023-12-11,1,-1
2023-12-12,1,-1
2023-12-13,1,1
2023-12-14,1,1
2023-12-15,1,1
2023-12-18,1,1
2023-12-19,1,1
2023-12-20,1,-1
2023-12-21,1,-1
2023-12-22,1,1
2023-12-26,4,-2
2023-12-27,1,1
2023-12-28,1,1
2023-12-29,1,-1
2024-01-02,1,1
2024-01-03,1,-1
2024-01-04,1,-1
2024-01-05,1,-1
2024-01-08,1,1
2024-01-09,1,1
2024-01-10,1,-1
2024-01-11,1,-1
2024-01-12,1,-1
2024-01-16,3,1
2024-01-17,1,-1
2024-01-18,1,-1
2024-01-19,1,-1
2024-01-22,1,1
2024-01-23,1,1
2024-01-24,1,1
2024-01-25,1,-1
2024-01-26,1,1
2024-01-29,1,-1
2024-01-30,1,1
2024-01-31,1,-1
2024-02-01,1,-1
2024-02-02,1,-1
2024-02-05,1,1
2024-02-06,1,1
2024-02-07,1,-1
2024-02-08,1,1
2024-02-09,1,1
2024-02-12,1,1
2024-02-13,13,-7
2024-02-14,1,-1
2024-02-15,1,1
2024-02-16,1,1
2024-02-20,1,1
2024-02-21,1,-1
2024-02-22,1,1
2024-02-23,1,1
2024-02-26,5,3
2024-02-27,1,-1
2024-02-28,1,1
2024-02-29,2,0
2024-03-01,1,-1
2024-03-04,1,1
2024-03-05,1,-1
2024-03-11,1,-1
2024-03-14,1,-1
2024-03-15,1,-1
2024-03-18,1,-1
2024-03-24,1,1
2024-03-26,2,2
2024-03-27,7,5
2024-03-28,2,2
2024-03-29,1,-1
2024-03-31,1,1
2024-04-02,1,-1
2024-04-05,1,-1
2024-04-15,1,-1
2024-04-19,1,-1
2024-04-23,1,1
2024-05-07,1,1
2024-05-13,3,-3
2024-05-15,1,-1
2024-05-28,2,2
2024-06-02,2,2
2024-06-03,1,1
2024-06-05,1,-1
2024-06-24,1,-1
2024-07-22,1,1
