formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-04,1,-1
2023-08-11,7,1
2023-08-14,4,2
2023-08-22,1,-1
2023-08-24,1,1
2023-08-30,1,-1
2023-08-31,1,1
2023-09-01,1,1
2023-09-04,1,1
2023-09-06,1,1
2023-09-18,1,1
2023-09-20,2,-2
2023-09-21,1,1
2023-09-29,1,-1
2023-10-03,2,2
2023-10-16,1,1
2023-10-23,4,-2
2023-10-24,1,1
2023-10-25,1,1
2023-11-01,1,-1
2023-11-02,4,4
2023-11-03,1,1
2023-11-06,1,1
2023-11-07,2,0
2023-11-08,1,-1
2023-11-09,5,1
2023-11-10,2,2
2023-11-13,2,2
2023-11-14,2,-2
2023-11-20,2,-2
2023-11-21,1,-1
2023-11-28,1,1
2023-12-04,1,1
2023-12-08,1,-1
2023-12-11,3,3
2023-12-12,5,5
2023-12-13,1,1
2023-12-15,1,-1
2023-12-16,1,-1
2023-12-19,1,1
2023-12-20,4,0
2023-12-22,2,0
2023-12-27,1,1
2024-01-03,2,0
2024-01-05,1,1
2024-01-08,1,1
2024-01-25,1,-1
2024-01-31,2,0
2024-02-02,1,1
2024-02-07,13,-9
2024-02-08,1,1
2024-02-09,4,4
2024-02-16,1,1
2024-02-20,2,-2
2024-02-23,1,-1
2024-02-26,3,1
2024-02-29,2,2
2024-03-01,1,1
2024-03-03,1,1
2024-03-04,1,1
2024-03-06,1,1
2024-03-12,1,1
2024-03-19,1,1
2024-03-20,1,1
2024-03-21,3,-3
2024-03-22,1,1
2024-03-23,1,-1
2024-03-24,1,1
2024-03-31,3,-1
2024-04-01,14,4
2024-04-02,8,4
2024-04-03,1,1
2024-04-04,2,2
2024-04-07,1,1
2024-04-08,2,2
2024-04-09,1,1
2024-04-11,1,1
2024-04-12,1,1
2024-04-23,1,1
2024-04-24,1,-1
2024-05-01,1,1
2024-05-02,1,1
2024-05-08,1,-1
2024-05-09,4,-2
2024-05-10,4,4
2024-05-11,1,-1
2024-05-12,2,2
2024-05-13,2,0
2024-05-14,2,0
2024-05-15,1,-1
2024-05-17,1,1
2024-05-28,1,1
2024-05-30,2,2
2024-06-06,2,0
2024-06-13,5,3
2024-06-14,14,6
2024-06-16,1,-1
2024-06-17,1,1
2024-06-18,1,1
2024-06-28,1,-1
