formatted_date,articles,sentiment
2023-08-01,2,2
2023-08-02,3,1
2023-08-04,1,-1
2023-08-08,1,1
2023-08-10,1,1
2023-08-11,1,-1
2023-08-14,1,-1
2023-08-15,2,0
2023-08-18,1,1
2023-08-30,1,1
2023-09-05,1,-1
2023-09-14,1,-1
2023-09-29,1,1
2023-10-11,1,1
2023-10-19,3,3
2023-10-24,2,2
2023-10-25,6,6
2023-10-26,2,0
2023-10-27,1,-1
2023-10-28,1,1
2023-11-03,2,2
2023-11-12,1,1
2023-11-14,3,3
2023-11-23,1,1
2023-11-30,1,1
2023-12-06,1,-1
2023-12-11,2,0
2023-12-14,2,2
2024-01-11,1,1
2024-01-15,2,2
2024-01-20,1,1
2024-01-24,1,1
2024-01-29,1,1
2024-01-30,1,1
2024-02-01,1,1
2024-02-05,1,-1
2024-02-06,1,1
2024-02-10,2,2
2024-02-13,1,1
2024-02-14,2,2
2024-02-17,1,1
2024-02-20,4,2
2024-02-21,3,3
2024-02-22,1,1
2024-02-25,1,1
2024-02-29,1,1
2024-03-06,1,1
2024-03-17,1,-1
2024-03-19,1,1
2024-04-05,1,1
2024-04-09,1,-1
2024-04-10,1,1
2024-04-12,1,-1
2024-04-16,1,1
2024-04-18,1,1
2024-04-24,9,7
2024-04-26,1,1
2024-04-29,3,1
2024-04-30,1,1
2024-05-02,1,1
2024-05-08,1,1
2024-05-09,1,1
2024-05-14,2,2
2024-05-15,2,0
2024-05-22,1,1
2024-05-29,1,1
2024-05-31,2,0
2024-06-04,2,2
2024-06-09,1,1
2024-06-12,1,-1
2024-06-15,1,1
2024-06-18,1,1
2024-06-19,1,1
2024-06-24,1,-1
2024-07-11,1,1
2024-07-17,1,1
2024-07-18,1,1
2024-07-23,3,3
2024-07-24,5,3
2024-07-25,4,2
