formatted_date,articles,sentiment
2023-08-01,6,2
2023-08-02,6,-4
2023-08-03,1,-1
2023-08-19,1,-1
2023-08-30,1,1
2023-09-10,1,-1
2023-09-14,1,1
2023-09-18,8,2
2023-09-19,2,-2
2023-10-13,1,1
2023-10-20,1,1
2023-10-24,2,0
2023-11-01,3,1
2023-11-02,5,1
2023-11-03,7,-3
2023-11-04,1,-1
2023-11-05,2,2
2023-11-07,1,1
2023-11-14,1,1
2023-11-15,1,1
2023-11-16,1,1
2023-11-26,2,2
2023-11-29,1,-1
2023-12-18,1,1
2023-12-21,1,1
2023-12-27,1,-1
2023-12-29,1,1
2024-01-01,1,1
2024-01-03,1,1
2024-01-11,1,1
2024-01-17,2,2
2024-01-18,1,1
2024-01-28,1,1
2024-02-06,6,2
2024-02-07,5,1
2024-02-08,3,-1
2024-02-10,27,-25
2024-02-11,1,1
2024-02-13,2,2
2024-02-14,1,1
2024-02-22,1,-1
2024-03-03,1,1
2024-03-11,1,1
2024-03-12,1,-1
2024-03-24,1,-1
2024-03-28,1,1
2024-03-31,1,1
2024-04-01,1,1
2024-04-08,1,1
2024-04-14,1,-1
2024-04-15,1,1
2024-04-30,3,3
2024-05-01,7,1
2024-05-02,4,-2
2024-05-03,1,1
2024-05-07,1,-1
2024-05-14,1,1
2024-05-16,1,1
2024-05-21,1,-1
2024-05-22,1,1
2024-05-27,1,1
2024-05-28,1,-1
2024-06-04,1,1
2024-06-05,1,1
2024-06-10,1,-1
2024-06-13,2,2
2024-06-14,1,1
2024-06-18,2,2
2024-06-25,1,-1
2024-07-04,1,-1
2024-07-06,1,1
2024-07-10,1,-1
2024-07-15,1,1
2024-07-17,1,1
