formatted_date,articles,sentiment
2023-07-31,1,1
2023-08-01,10,4
2023-08-02,2,2
2023-08-03,1,1
2023-08-10,3,3
2023-08-27,1,1
2023-08-29,1,1
2023-08-30,1,1
2023-09-01,1,1
2023-09-03,2,-2
2023-09-08,2,-2
2023-09-09,1,-1
2023-09-11,2,2
2023-09-15,2,2
2023-09-16,1,-1
2023-09-19,1,-1
2023-09-20,3,1
2023-09-21,1,-1
2023-09-25,3,1
2023-09-26,3,3
2023-09-27,2,0
2023-09-28,1,1
2023-09-29,5,1
2023-10-02,1,1
2023-10-03,2,-2
2023-10-04,4,0
2023-10-09,1,-1
2023-10-10,4,2
2023-10-11,2,2
2023-10-18,1,1
2023-10-23,1,1
2023-10-24,7,5
2023-10-26,3,3
2023-10-27,3,3
2023-10-29,6,2
2023-10-30,19,7
2023-10-31,43,1
2023-11-01,1,1
2023-11-02,3,3
2023-11-05,1,1
2023-11-07,1,1
2023-11-08,1,-1
2023-11-10,1,-1
2023-11-13,2,0
2023-11-14,1,1
2023-11-15,2,0
2023-11-16,1,-1
2023-11-19,1,1
2023-11-20,3,-3
2023-11-22,1,-1
2023-11-28,1,-1
2023-11-29,3,3
2023-11-30,5,5
2023-12-01,1,1
2023-12-05,5,5
2023-12-06,3,1
2023-12-08,1,1
2023-12-11,1,1
2023-12-15,1,1
2023-12-18,2,0
2023-12-26,1,1
2024-01-02,4,0
2024-01-04,2,-2
2024-01-07,1,1
2024-01-09,1,-1
2024-01-10,1,1
2024-01-16,2,0
2024-01-17,2,2
2024-01-18,1,1
2024-01-23,1,1
2024-01-25,1,1
2024-01-26,1,1
2024-01-31,1,1
2024-02-02,1,1
2024-02-03,1,1
2024-02-05,1,1
2024-02-06,36,-2
2024-02-08,1,1
2024-02-09,2,-2
2024-02-10,2,0
2024-02-11,9,1
2024-02-12,23,7
2024-02-13,22,8
2024-02-14,3,1
2024-02-17,3,3
2024-02-18,2,2
2024-02-19,2,0
2024-02-20,1,-1
2024-02-23,1,1
2024-02-24,1,1
2024-02-26,1,1
2024-02-27,1,-1
2024-02-29,1,1
2024-03-01,1,1
2024-03-04,1,1
2024-03-05,1,1
2024-03-07,2,2
2024-03-08,2,2
2024-03-12,1,1
2024-03-14,1,1
2024-03-15,1,1
2024-03-20,1,-1
2024-03-21,1,1
2024-03-23,1,1
2024-03-25,1,1
2024-03-26,2,0
2024-03-28,2,2
2024-03-29,1,1
2024-04-02,4,0
2024-04-03,1,-1
2024-04-04,2,0
2024-04-05,1,-1
2024-04-08,1,-1
2024-04-09,1,1
2024-04-15,1,1
2024-04-22,2,2
2024-04-23,2,2
2024-04-24,3,-1
2024-04-27,1,1
2024-04-28,11,1
2024-04-29,15,1
2024-04-30,16,6
2024-05-01,2,0
2024-05-04,2,2
2024-05-06,2,2
2024-05-07,1,1
2024-05-08,1,1
2024-05-09,1,-1
2024-05-12,2,0
2024-05-13,2,0
2024-05-14,2,2
2024-05-15,1,-1
2024-05-16,2,2
2024-05-17,2,0
2024-05-22,2,0
2024-05-23,1,1
2024-05-24,1,1
2024-05-29,1,1
2024-06-02,2,0
2024-06-03,15,5
2024-06-04,3,1
2024-06-05,3,-1
2024-06-06,1,-1
2024-06-07,1,1
2024-06-13,1,-1
2024-06-17,1,1
2024-06-19,1,1
2024-06-20,1,-1
2024-06-25,3,-1
2024-06-26,1,1
2024-06-27,1,-1
2024-07-01,1,-1
2024-07-02,1,-1
2024-07-05,1,1
2024-07-10,1,1
2024-07-11,2,2
2024-07-12,1,1
2024-07-15,2,0
2024-07-16,2,-2
2024-07-17,2,-2
2024-07-18,3,1
2024-07-19,2,0
2024-07-23,2,0
2024-07-25,1,-1
