formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-03,4,0
2023-08-04,1,1
2023-08-07,3,1
2023-08-08,1,1
2023-08-09,2,0
2023-08-10,1,1
2023-08-11,1,1
2023-08-13,2,-2
2023-08-14,4,2
2023-08-15,1,-1
2023-08-16,1,-1
2023-08-17,2,-2
2023-08-21,2,0
2023-08-22,1,-1
2023-08-25,1,1
2023-08-29,1,-1
2023-08-30,1,-1
2023-08-31,1,-1
2023-09-05,1,1
2023-09-06,4,-4
2023-09-12,4,0
2023-09-14,1,1
2023-09-18,1,1
2023-09-21,2,0
2023-09-25,2,0
2023-09-27,3,-3
2023-09-28,1,1
2023-09-29,8,4
2023-10-01,1,1
2023-10-02,1,-1
2023-10-04,2,2
2023-10-10,3,-3
2023-10-11,1,-1
2023-10-12,1,-1
2023-10-15,1,-1
2023-10-19,3,1
2023-10-20,1,-1
2023-10-23,1,-1
2023-10-24,2,-2
2023-10-25,5,1
2023-10-26,12,-6
2023-10-27,7,-1
2023-10-29,2,-2
2023-10-31,2,0
2023-11-01,3,1
2023-11-02,2,2
2023-11-03,7,-3
2023-11-05,1,1
2023-11-06,1,1
2023-11-09,1,-1
2023-11-10,3,-3
2023-11-13,2,0
2023-11-14,12,-6
2023-11-15,4,-2
2023-11-16,4,2
2023-11-17,1,1
2023-11-19,1,1
2023-11-20,3,-1
2023-11-21,1,1
2023-11-22,1,-1
2023-11-23,1,1
2023-11-24,2,0
2023-11-28,1,1
2023-11-29,1,1
2023-11-30,1,1
2023-12-01,1,-1
2023-12-03,1,1
2023-12-04,2,0
2023-12-05,3,1
2023-12-07,1,-1
2023-12-08,2,-2
2023-12-12,1,1
2023-12-14,4,2
2023-12-15,3,-1
2023-12-17,1,-1
2023-12-18,6,-2
2023-12-19,1,1
2023-12-20,1,1
2023-12-21,1,1
2023-12-22,1,-1
2023-12-23,1,-1
2023-12-26,1,1
2023-12-28,2,0
2024-01-01,1,1
2024-01-02,3,1
2024-01-03,2,0
2024-01-04,1,1
2024-01-05,3,1
2024-01-08,2,0
2024-01-11,3,-1
2024-01-12,1,-1
2024-01-16,1,-1
2024-01-17,1,-1
2024-01-18,2,2
2024-01-19,3,-1
2024-01-23,1,1
2024-01-24,1,1
2024-01-25,1,-1
2024-01-26,1,-1
2024-01-29,4,-2
2024-01-30,2,2
2024-01-31,18,-14
2024-01-11,1,-1
2024-01-31,30,-10
2024-02-01,78,-24
2024-02-02,50,-2
2024-02-03,2,0
2024-02-04,5,-3
2024-02-05,23,-1
2024-02-06,43,-33
2024-02-07,101,-43
2024-02-08,54,-10
2024-02-09,42,4
2024-02-10,36,-18
2024-02-11,10,8
2024-02-12,19,3
2024-02-13,15,-7
2024-02-14,10,2
2024-02-15,13,1
2024-02-16,8,-4
2024-02-17,3,-1
2024-02-19,2,2
2024-02-20,7,-5
2024-02-21,4,2
2024-02-22,4,-4
2024-02-23,4,-4
2024-02-24,2,2
2024-02-26,3,-3
2024-02-27,4,-2
2024-02-28,11,5
2024-02-29,29,-3
2024-03-01,80,-22
2024-03-02,3,-1
2024-03-03,12,-2
2024-03-04,32,-6
2024-03-05,22,-4
2024-03-06,50,-2
2024-03-07,66,-6
2024-03-08,21,-9
2024-03-06,1,-1
2024-03-08,7,-7
2024-03-09,4,2
2024-03-10,5,-1
2024-03-11,21,-9
2024-03-12,12,0
2024-03-13,6,-2
2024-03-14,15,-7
2024-03-15,7,-1
2024-03-16,6,-2
2024-03-17,2,-2
2024-03-18,14,-8
2024-03-19,6,-4
2024-03-20,5,-1
2024-03-21,4,2
2024-03-22,6,-4
2024-03-23,2,0
2024-03-24,1,-1
2024-03-25,2,0
2024-03-26,7,-7
2024-03-27,5,-5
2024-03-28,5,-1
2024-03-29,4,-4
2024-03-30,2,0
2024-03-31,1,1
2024-04-01,3,1
2024-04-02,5,-5
2024-04-03,7,-1
2024-04-04,5,-1
