formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-03,1,-1
2023-08-06,1,-1
2023-08-26,1,-1
2023-08-31,1,1
2023-10-02,1,-1
2023-10-03,2,0
2023-10-04,1,1
2023-10-11,1,1
2023-10-17,1,-1
2023-10-20,2,2
2023-10-23,1,1
2023-10-24,1,1
2023-10-26,1,1
2023-10-27,1,1
2023-10-29,1,1
2023-10-30,3,1
2023-10-31,13,5
2023-11-01,1,1
2023-11-03,2,2
2023-11-21,1,1
2023-11-23,1,-1
2023-11-29,2,2
2023-11-30,2,2
2023-12-01,2,2
2023-12-03,2,2
2023-12-04,3,1
2023-12-05,4,-4
2023-12-11,2,0
2023-12-17,1,1
2023-12-19,1,1
2023-12-25,1,1
2024-01-02,2,-2
2024-01-03,1,-1
2024-01-05,1,1
2024-01-08,1,1
2024-01-09,3,1
2024-01-11,1,1
2024-01-17,1,1
2024-01-19,1,1
2024-01-26,2,2
2024-01-28,1,1
2024-01-29,1,1
2024-01-30,1,-1
2024-01-31,1,1
2024-02-04,1,1
2024-02-05,3,3
2024-02-06,10,6
2024-02-07,6,4
2024-02-08,1,1
2024-02-09,2,2
2024-02-10,23,-13
2024-02-11,1,1
2024-02-12,2,2
2024-02-21,1,1
2024-02-26,1,1
2024-03-01,1,1
2024-03-04,2,2
2024-03-11,1,1
2024-03-25,1,1
2024-03-26,4,2
2024-03-27,1,-1
2024-04-18,2,2
2024-04-23,2,2
2024-04-24,1,1
2024-05-01,1,1
2024-05-02,9,7
2024-05-03,5,3
2024-05-04,1,-1
2024-05-05,1,1
2024-05-06,2,2
2024-05-07,1,-1
2024-05-14,2,0
2024-05-16,1,1
2024-05-22,1,1
2024-05-27,1,1
2024-06-03,1,1
2024-06-07,1,-1
2024-07-16,1,-1
2024-07-22,1,-1
2024-07-25,1,1
