formatted_date,articles,sentiment
2023-08-02,2,0
2023-08-04,1,-1
2023-08-07,6,2
2023-08-08,12,-4
2023-08-09,12,2
2023-08-10,10,6
2023-08-11,1,-1
2023-08-12,2,2
2023-08-13,1,-1
2023-08-15,1,1
2023-08-16,4,2
2023-08-20,2,0
2023-08-21,9,7
2023-08-22,1,1
2023-08-23,3,-1
2023-08-24,8,2
2023-08-26,1,1
2023-08-27,1,-1
2023-08-28,4,2
2023-08-29,4,2
2023-08-30,15,-1
2023-09-01,3,1
2023-09-04,2,0
2023-09-06,3,-1
2023-09-07,8,-6
2023-09-08,2,0
2023-09-12,2,0
2023-09-13,1,-1
2023-09-15,7,3
2023-09-20,2,0
2023-09-21,3,-1
2023-09-24,2,0
2023-09-25,3,1
2023-09-26,3,1
2023-09-27,3,3
2023-09-28,2,2
2023-09-29,7,-1
2023-10-01,1,-1
2023-10-02,18,0
2023-10-03,8,4
2023-10-04,6,4
2023-10-05,3,-3
2023-10-06,1,1
2023-10-09,1,1
2023-10-10,1,-1
2023-10-11,1,1
2023-10-12,4,0
2023-08-28,1,1
2023-10-13,2,2
2023-10-14,1,1
2023-10-15,1,1
2023-10-16,7,3
2023-10-17,6,2
2023-10-18,5,3
2023-10-19,3,-1
2023-10-20,1,-1
2023-10-21,1,1
2023-10-22,4,0
2023-10-23,2,0
2023-10-24,4,4
2023-10-25,1,-1
2023-10-26,8,0
2023-10-27,5,3
2023-10-30,3,-1
2023-10-31,4,0
2023-11-01,9,1
2023-11-02,16,-4
2023-11-03,20,6
2023-11-04,2,0
2023-11-05,1,-1
2023-11-06,8,4
2023-11-07,5,-1
2023-11-08,3,-1
2023-11-10,2,0
2023-11-12,1,-1
2023-11-13,10,-2
2023-11-15,2,0
2023-11-17,2,-2
2023-11-19,1,1
2023-11-20,1,-1
2023-11-21,2,2
2023-11-23,4,2
2023-11-26,1,-1
2023-11-27,2,0
2023-11-28,3,1
2023-11-29,1,1
2023-11-30,3,-3
2023-12-04,5,5
2023-12-05,3,1
2023-12-06,1,1
2023-12-07,1,1
2023-12-08,2,0
2023-12-11,3,1
2023-12-12,1,-1
2023-12-13,5,-1
2023-12-19,2,2
2023-12-20,2,0
2023-12-21,4,2
2023-12-22,1,1
2023-12-26,1,-1
2023-12-27,2,0
2023-12-28,2,0
2023-12-29,2,0
2023-12-30,1,1
2024-01-01,1,1
2024-01-02,1,1
2024-01-03,1,1
2024-01-04,1,1
2024-01-05,1,1
2024-01-06,1,1
2024-01-08,3,1
2024-01-10,1,1
2024-01-11,20,-18
2024-01-12,1,1
2024-01-15,1,1
2024-01-18,2,0
2024-01-19,1,1
2024-01-22,42,-6
2024-01-25,3,1
2024-01-26,1,1
2024-01-30,1,1
2024-02-01,1,1
2024-02-03,1,1
2024-02-05,3,3
2024-02-06,1,1
2024-02-07,3,3
2024-02-08,3,1
2024-02-09,1,1
2024-02-12,1,-1
2024-02-13,1,1
2024-02-15,1,1
2024-02-16,1,1
2024-02-18,1,-1
2024-02-19,2,-2
2024-02-21,7,-1
2024-02-22,13,1
2024-02-23,9,5
2024-02-24,1,1
2024-02-25,5,3
2024-02-26,1,-1
2024-02-27,3,1
2024-02-28,4,2
2024-02-29,2,0
2024-03-01,1,-1
2024-03-02,2,2
2024-03-04,2,-2
2024-03-05,1,1
2024-03-06,1,1
2024-03-07,1,-1
2024-03-08,3,3
2024-03-11,2,0
2024-03-14,1,1
2024-03-16,2,2
2024-03-18,1,1
2024-03-19,2,2
2024-03-20,5,-1
2024-03-21,5,1
2024-03-22,2,0
2024-03-23,1,1
2024-03-24,1,-1
2024-03-25,1,-1
2024-03-26,1,1
2024-03-27,1,-1
2024-03-28,4,0
2024-03-30,1,1
2024-03-31,1,-1
2024-04-01,1,-1
2024-04-02,3,-1
2024-04-03,2,-2
2024-04-04,1,1
2024-04-08,2,-2
2024-04-10,3,1
2024-04-12,2,2
2024-04-13,1,1
2024-04-15,3,3
2024-04-16,1,1
2024-04-17,4,2
2024-04-18,1,1
2024-04-19,1,-1
2024-04-21,1,1
2024-04-24,1,-1
2024-04-25,1,-1
2024-04-26,1,1
2024-04-27,1,1
2024-04-28,1,-1
2024-04-29,1,1
2024-05-02,2,2
2024-05-05,1,-1
2024-05-06,4,4
2024-05-07,5,5
2024-05-08,6,0
2024-05-09,11,-1
2024-05-10,12,6
2024-05-12,3,1
2024-05-13,4,4
2024-05-14,7,3
2024-05-16,2,-2
2024-05-18,1,1
2024-05-19,2,0
2024-05-20,1,-1
2024-05-21,1,1
2024-05-22,1,1
2024-05-23,1,1
2024-05-27,1,1
2024-05-28,2,2
2024-05-30,5,5
2024-06-04,1,1
2024-06-05,1,-1
2024-06-06,2,0
2024-06-10,1,1
2024-06-11,2,0
2024-06-13,1,-1
2024-06-17,2,-2
2024-06-19,1,1
2024-06-20,5,3
2024-06-21,6,0
2024-06-24,8,2
2024-06-25,2,0
2024-06-26,1,-1
2024-06-27,1,1
2024-06-28,1,1
2024-07-04,1,-1
2024-07-06,1,-1
2024-07-08,1,-1
2024-07-12,1,1
2024-07-16,1,1
2024-07-18,2,2
2024-07-22,1,1
2024-07-23,2,0
2024-07-25,1,1
