formatted_date,articles,sentiment
2023-08-01,1,-1
2023-08-02,2,2
2023-08-03,3,-3
2023-08-04,2,-2
2023-08-07,1,-1
2023-08-08,3,-1
2023-08-09,1,-1
2023-08-10,2,2
2023-08-11,2,0
2023-08-13,2,0
2023-08-14,3,1
2023-08-15,1,-1
2023-08-16,1,1
2023-08-17,1,-1
2023-08-18,1,-1
2023-08-21,1,-1
2023-08-22,1,-1
2023-08-23,1,-1
2023-08-24,1,1
2023-08-25,1,1
2023-08-27,1,-1
2023-08-28,1,-1
2023-08-29,2,0
2023-08-30,1,1
2023-08-31,2,2
2023-09-01,1,1
2023-09-03,1,-1
2023-09-05,2,0
2023-09-06,2,-2
2023-09-07,2,0
2023-09-08,1,1
2023-09-11,2,0
2023-09-12,1,1
2023-09-13,2,2
2023-09-14,2,0
2023-09-15,1,1
2023-09-18,3,1
2023-09-19,2,0
2023-09-20,1,-1
2023-09-21,2,0
2023-09-22,2,2
2023-09-25,2,-2
2023-09-26,1,-1
2023-09-27,2,2
2023-09-28,3,-1
2023-09-29,5,5
2023-10-02,2,-2
2023-10-03,1,1
2023-10-04,3,-1
2023-10-05,2,-2
2023-10-06,2,2
2023-10-09,2,0
2023-10-10,2,2
2023-10-11,1,-1
2023-10-12,1,-1
2023-10-13,3,1
2023-10-17,2,0
2023-10-18,3,1
2023-10-19,18,0
2023-10-20,4,-2
2023-10-23,2,0
2023-10-24,1,1
2023-10-25,2,0
2023-10-26,1,-1
2023-10-27,2,0
2023-10-28,1,1
2023-10-30,3,1
2023-10-31,2,0
2023-11-01,3,1
2023-11-02,3,3
2023-11-03,2,2
2023-11-04,1,-1
2023-11-06,1,-1
2023-11-07,5,5
2023-11-08,3,1
2023-11-09,1,-1
2023-11-10,1,-1
2023-11-11,1,-1
2023-11-13,2,2
2023-11-14,1,1
2023-11-15,2,2
2023-11-16,3,1
2023-11-17,1,1
2023-11-20,2,0
2023-11-21,1,-1
2023-11-22,1,1
2023-11-24,1,-1
2023-11-27,1,-1
2023-11-28,1,-1
2023-11-29,2,0
2023-11-30,1,1
2023-12-01,3,-1
2023-12-03,1,-1
2023-12-04,1,1
2023-12-05,1,-1
2023-12-06,1,1
2023-12-07,1,-1
2023-12-08,2,-2
2023-12-11,1,1
2023-12-12,1,-1
2023-12-13,3,1
2023-12-14,1,1
2023-12-15,1,1
2023-12-18,2,-2
2023-12-19,3,1
2023-12-20,1,1
2023-12-21,1,1
2023-12-22,2,0
2023-12-26,1,-1
2023-12-27,2,0
2023-12-28,1,-1
2023-12-29,2,0
2024-01-01,1,-1
2024-01-02,3,1
2024-01-03,2,0
2024-01-05,1,-1
2024-01-08,3,1
2024-01-09,1,-1
2024-01-10,1,-1
2024-01-11,1,1
2024-01-12,2,0
2024-01-15,1,-1
2024-01-16,1,1
2024-01-17,2,0
2024-01-18,1,1
2024-01-19,1,1
2024-01-22,33,-19
2024-01-23,1,-1
2024-01-24,1,-1
2024-01-25,2,2
2024-01-26,1,1
2024-01-29,1,1
2024-01-30,1,1
2024-01-31,2,0
2024-02-01,1,1
2024-02-02,2,0
2024-02-05,3,3
2024-02-06,1,1
2024-02-07,5,-1
2024-02-08,13,-3
2024-02-09,5,1
2024-02-10,2,0
2024-02-11,1,1
2024-02-12,3,-1
2024-02-13,1,-1
2024-02-14,1,-1
2024-02-15,3,1
2024-02-16,3,1
2024-02-17,1,-1
2024-02-18,1,1
2024-02-20,1,1
2024-02-21,2,0
2024-02-22,3,3
2024-02-23,4,2
2024-02-26,1,1
2024-02-27,1,1
2024-02-28,2,0
2024-02-29,4,0
2024-03-01,1,1
2024-03-02,1,1
2024-03-03,2,-2
2024-03-04,3,-1
2024-03-05,1,-1
2024-03-06,1,1
2024-03-08,1,1
2024-03-09,2,0
2024-03-11,4,0
2024-03-13,1,1
2024-03-14,1,1
2024-03-15,1,-1
2024-03-18,2,0
2024-03-19,1,1
2024-03-21,1,1
2024-03-27,1,1
2024-03-31,1,1
2024-04-01,1,1
2024-04-03,3,1
2024-04-04,2,0
2024-04-05,2,0
2024-04-08,2,0
2024-04-10,1,-1
2024-04-11,1,1
2024-04-12,1,-1
2024-04-14,2,0
2024-04-15,4,-2
2024-04-16,1,-1
2024-04-17,4,4
2024-04-18,25,-5
2024-04-19,6,-4
2024-04-22,5,3
2024-04-23,1,1
2024-04-24,1,-1
2024-04-25,2,-2
2024-04-30,2,2
2024-05-06,1,1
2024-05-07,1,-1
2024-05-08,3,-1
2024-05-11,2,0
2024-05-14,1,1
2024-05-16,1,1
2024-05-17,1,1
2024-05-20,3,1
2024-05-21,1,1
2024-05-22,4,4
2024-05-23,2,-2
2024-05-24,1,1
2024-05-31,1,1
2024-06-01,1,-1
2024-06-03,1,-1
2024-06-06,1,1
2024-06-07,2,2
2024-06-09,1,-1
2024-06-10,2,2
2024-06-12,1,-1
2024-06-13,2,-2
2024-06-17,3,1
2024-06-18,2,2
2024-06-19,1,1
2024-06-24,2,0
2024-06-25,3,1
2024-06-26,3,1
2024-06-28,1,1
2024-07-04,2,-2
2024-07-05,1,-1
2024-07-08,1,-1
2024-07-09,1,1
2024-07-10,1,-1
2024-07-11,2,2
2024-07-15,2,-2
2024-07-17,4,-2
2024-07-18,15,-5
2024-07-19,5,-3
2024-07-20,1,1
2024-07-21,1,-1
2024-07-22,1,-1
2024-07-25,2,2
