Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-01 00:00:00-04:00,2023-06-01,23.5,23.979999542236328,23.290000915527344,23.809999465942383,25900,0.0,0.0
2023-06-02 00:00:00-04:00,2023-06-02,23.950000762939453,24.350000381469727,23.6299991607666,24.15999984741211,19600,0.0,0.0
2023-06-05 00:00:00-04:00,2023-06-05,24.209999084472656,24.299999237060547,24.020000457763672,24.170000076293945,20000,0.0,0.0
2023-06-06 00:00:00-04:00,2023-06-06,24.350000381469727,24.350000381469727,24.040000915527344,24.299999237060547,18600,0.0,0.0
2023-06-07 00:00:00-04:00,2023-06-07,24.350000381469727,24.40999984741211,24.149999618530277,24.350000381469727,12500,0.0,0.0
2023-06-08 00:00:00-04:00,2023-06-08,24.21999931335449,24.549999237060547,24.059999465942383,24.420000076293945,9000,0.0,0.0
2023-06-09 00:00:00-04:00,2023-06-09,24.59000015258789,24.739999771118164,24.34000015258789,24.690000534057617,25500,0.0,0.0
2023-06-12 00:00:00-04:00,2023-06-12,24.690000534057617,24.780000686645508,24.209999084472656,24.690000534057617,15700,0.0,0.0
2023-06-13 00:00:00-04:00,2023-06-13,24.690000534057617,24.850000381469727,24.5,24.770000457763672,13000,0.0,0.0
2023-06-14 00:00:00-04:00,2023-06-14,24.770000457763672,25.0,24.51000022888184,24.959999084472656,15400,0.0,0.0
2023-06-15 00:00:00-04:00,2023-06-15,24.899999618530277,25.100000381469727,24.5,24.670000076293945,15700,0.0,0.0
2023-06-16 00:00:00-04:00,2023-06-16,24.670000076293945,24.799999237060547,24.649999618530277,24.799999237060547,10100,0.0,0.0
2023-06-20 00:00:00-04:00,2023-06-20,24.68000030517578,24.950000762939453,24.68000030517578,24.950000762939453,6900,0.0,0.0
2023-06-21 00:00:00-04:00,2023-06-21,24.86000061035156,24.90999984741211,24.649999618530277,24.90999984741211,10000,0.0,0.0
2023-06-22 00:00:00-04:00,2023-06-22,24.899999618530277,24.950000762939453,24.489999771118164,24.6200008392334,14600,0.0,0.0
2023-06-23 00:00:00-04:00,2023-06-23,24.729999542236328,24.899999618530277,24.63999938964844,24.770000457763672,3400,0.0,0.0
2023-06-26 00:00:00-04:00,2023-06-26,24.809999465942383,25.0,24.790000915527344,24.950000762939453,9300,0.0,0.0
2023-06-27 00:00:00-04:00,2023-06-27,24.989999771118164,25.100000381469727,24.989999771118164,25.030000686645508,18200,0.0,0.0
2023-06-28 00:00:00-04:00,2023-06-28,25.07999992370605,25.280000686645508,24.11000061035156,24.11000061035156,42700,0.0,0.0
2023-06-29 00:00:00-04:00,2023-06-29,24.540000915527344,24.790000915527344,24.38999938964844,24.420000076293945,8400,0.0,0.0
2023-06-30 00:00:00-04:00,2023-06-30,24.670000076293945,25.350000381469727,24.5,25.350000381469727,163000,0.0,0.0
2023-07-03 00:00:00-04:00,2023-07-03,25.15999984741211,25.420000076293945,25.15999984741211,25.420000076293945,33700,0.0,0.0
2023-07-05 00:00:00-04:00,2023-07-05,25.13999938964844,25.600000381469727,25.13999938964844,25.57999992370605,26900,0.0,0.0
2023-07-06 00:00:00-04:00,2023-07-06,25.450000762939453,25.670000076293945,25.06999969482422,25.40999984741211,12300,0.0,0.0
2023-07-07 00:00:00-04:00,2023-07-07,25.229999542236328,25.5,25.15999984741211,25.239999771118164,6300,0.0,0.0
2023-07-10 00:00:00-04:00,2023-07-10,25.32999992370605,25.32999992370605,25.15999984741211,25.15999984741211,19300,0.0,0.0
2023-07-11 00:00:00-04:00,2023-07-11,25.270000457763672,25.3700008392334,25.15999984741211,25.309999465942383,11900,0.0,0.0
2023-07-12 00:00:00-04:00,2023-07-12,25.309999465942383,25.32999992370605,25.190000534057617,25.25,17200,0.0,0.0
2023-07-13 00:00:00-04:00,2023-07-13,25.25,25.299999237060547,25.07999992370605,25.07999992370605,12900,0.0,0.0
2023-07-14 00:00:00-04:00,2023-07-14,25.3700008392334,25.3700008392334,25.0,25.36000061035156,7600,0.0,0.0
2023-07-17 00:00:00-04:00,2023-07-17,25.200000762939453,25.31999969482422,25.100000381469727,25.100000381469727,9600,0.0,0.0
2023-07-18 00:00:00-04:00,2023-07-18,25.11000061035156,25.200000762939453,25.100000381469727,25.149999618530277,8400,0.0,0.0
2023-07-19 00:00:00-04:00,2023-07-19,25.25,25.3700008392334,25.11000061035156,25.200000762939453,13800,0.0,0.0
2023-07-20 00:00:00-04:00,2023-07-20,25.21999931335449,25.350000381469727,25.200000762939453,25.34000015258789,19800,0.0,0.0
2023-07-21 00:00:00-04:00,2023-07-21,25.31999969482422,25.350000381469727,25.200000762939453,25.229999542236328,5800,0.0,0.0
2023-07-24 00:00:00-04:00,2023-07-24,25.21999931335449,25.290000915527344,25.18000030517578,25.229999542236328,20200,0.0,0.0
2023-07-25 00:00:00-04:00,2023-07-25,25.25,25.3700008392334,25.200000762939453,25.229999542236328,23700,0.0,0.0
2023-07-26 00:00:00-04:00,2023-07-26,25.350000381469727,25.36000061035156,25.239999771118164,25.239999771118164,26100,0.0,0.0
2023-07-27 00:00:00-04:00,2023-07-27,25.36000061035156,25.3700008392334,25.25,25.309999465942383,32200,0.0,0.0
2023-07-28 00:00:00-04:00,2023-07-28,25.32999992370605,25.3700008392334,25.239999771118164,25.26000022888184,18800,0.0,0.0
2023-07-31 00:00:00-04:00,2023-07-31,25.350000381469727,25.489999771118164,25.290000915527344,25.489999771118164,31300,0.0,0.0
2023-08-01 00:00:00-04:00,2023-08-01,25.290000915527344,25.350000381469727,25.25,25.26000022888184,10800,0.0,0.0
2023-08-02 00:00:00-04:00,2023-08-02,25.31999969482422,25.3700008392334,25.26000022888184,25.309999465942383,3900,0.0,0.0
2023-08-03 00:00:00-04:00,2023-08-03,25.270000457763672,25.3700008392334,25.25,25.25,11400,0.0,0.0
2023-08-04 00:00:00-04:00,2023-08-04,25.32999992370605,25.540000915527344,25.299999237060547,25.540000915527344,12800,0.0,0.0
2023-08-07 00:00:00-04:00,2023-08-07,25.6299991607666,25.6299991607666,25.3700008392334,25.450000762939453,14400,0.0,0.0
2023-08-08 00:00:00-04:00,2023-08-08,25.399999618530277,25.6200008392334,25.399999618530277,25.51000022888184,7500,0.0,0.0
2023-08-09 00:00:00-04:00,2023-08-09,25.32999992370605,25.56999969482422,25.32999992370605,25.51000022888184,9900,0.0,0.0
2023-08-10 00:00:00-04:00,2023-08-10,25.399999618530277,25.51000022888184,25.34000015258789,25.440000534057617,8500,0.0,0.0
2023-08-11 00:00:00-04:00,2023-08-11,25.450000762939453,25.489999771118164,25.36000061035156,25.38999938964844,4000,0.0,0.0
