formatted_date,articles,sentiment
2023-07-31,1,1
2023-08-07,1,-1
2023-08-10,1,-1
2023-08-11,1,1
2023-08-15,1,1
2023-09-05,2,0
2023-09-07,1,1
2023-09-12,1,-1
2023-09-18,3,-1
2023-09-20,1,1
2023-09-24,1,-1
2023-09-27,1,-1
2023-09-28,1,1
2023-10-05,1,1
2023-10-13,1,1
2023-10-23,3,-1
2023-10-24,4,-4
2023-10-25,1,-1
2023-10-26,2,-2
2023-11-01,1,1
2023-11-05,1,1
2023-11-07,1,1
2023-11-09,1,-1
2023-11-13,1,1
2023-11-17,1,-1
2023-11-20,1,1
2023-11-24,1,-1
2023-11-27,1,1
2023-11-29,1,-1
2023-12-01,1,-1
2023-12-04,2,2
2023-12-05,1,-1
2023-12-11,1,1
2023-12-14,1,1
2023-12-15,2,0
2023-12-18,1,1
2023-12-19,2,0
2023-12-21,1,1
2024-01-08,1,-1
2024-01-10,1,1
2024-01-16,1,-1
2024-01-17,2,0
2024-01-22,2,2
2024-02-04,2,2
2024-02-05,5,-1
2024-02-06,6,-2
2024-02-07,2,-2
2024-02-08,25,-21
2024-02-10,1,1
2024-02-11,1,-1
2024-02-23,1,1
2024-03-04,1,1
2024-03-08,1,1
2024-03-21,1,1
2024-03-27,1,-1
2024-03-28,1,-1
2024-04-03,1,-1
2024-04-08,2,0
2024-04-16,1,1
2024-04-18,1,-1
2024-04-22,1,1
2024-04-29,1,1
2024-04-30,7,-3
2024-05-01,1,-1
2024-05-02,5,-5
2024-05-03,2,0
2024-05-06,1,1
2024-05-13,1,-1
2024-05-17,1,1
2024-05-28,2,0
2024-05-31,1,-1
2024-06-03,2,-2
2024-06-04,2,0
2024-06-05,1,-1
2024-06-11,1,1
2024-06-14,1,-1
2024-06-30,1,1
2024-07-09,1,-1
2024-07-23,1,1
