formatted_date,articles,sentiment
2023-07-31,2,2
2023-08-01,1,1
2023-08-02,7,-5
2023-08-03,3,1
2023-08-18,5,1
2023-08-20,1,1
2023-08-21,1,1
2023-08-23,2,0
2023-08-24,1,1
2023-08-25,1,-1
2023-08-29,1,1
2023-09-06,1,-1
2023-09-07,1,1
2023-09-11,1,-1
2023-09-13,1,1
2023-09-20,2,2
2023-09-21,1,-1
2023-09-25,2,0
2023-09-26,1,1
2023-09-27,2,0
2023-09-28,2,-2
2023-09-29,1,1
2023-10-02,1,-1
2023-10-05,1,1
2023-10-09,1,-1
2023-10-17,1,-1
2023-10-24,1,-1
2023-10-27,1,-1
2023-10-30,1,-1
2023-11-01,1,-1
2023-11-02,3,1
2023-11-03,12,-4
2023-11-05,4,-2
2023-11-14,2,0
2023-11-16,1,-1
2023-11-19,2,0
2023-12-03,1,1
2023-12-04,1,1
2023-12-05,4,-2
2023-12-06,3,-1
2023-12-14,1,1
2023-12-20,2,0
2023-12-22,1,-1
2023-12-26,1,1
2023-12-27,1,1
2023-12-28,1,1
2023-12-29,1,1
2023-12-30,1,-1
2024-01-02,3,-1
2024-01-06,1,-1
2024-01-29,1,-1
2024-01-31,1,1
2024-02-01,3,-3
2024-02-06,5,-3
2024-02-08,23,-21
2024-02-12,2,0
2024-02-13,1,-1
2024-02-14,3,-1
2024-02-21,4,0
2024-02-22,11,-7
2024-02-23,5,-5
2024-02-25,1,-1
2024-02-26,1,-1
2024-02-27,1,-1
2024-02-28,1,1
2024-03-04,6,-2
2024-03-05,1,1
2024-03-07,1,1
2024-03-08,1,-1
2024-03-09,1,-1
2024-03-12,1,-1
2024-03-13,2,0
2024-03-17,1,-1
2024-03-20,1,1
2024-03-21,1,-1
2024-03-22,1,-1
2024-03-28,1,-1
2024-03-30,1,-1
2024-04-01,2,-2
2024-04-03,2,0
2024-04-04,1,1
2024-04-05,1,1
2024-04-08,1,-1
2024-04-10,2,0
2024-04-12,1,1
2024-04-14,1,1
2024-04-15,1,1
2024-04-23,1,-1
2024-04-24,1,-1
2024-04-25,1,-1
2024-05-01,1,1
2024-05-02,1,-1
2024-05-08,4,0
2024-05-09,10,0
2024-05-10,5,-5
2024-05-12,1,-1
2024-05-15,1,-1
2024-05-19,2,2
2024-05-24,1,-1
2024-05-29,2,2
2024-06-02,1,-1
2024-06-11,2,0
2024-06-15,1,-1
2024-06-20,1,1
2024-06-26,2,0
2024-06-27,1,-1
2024-07-09,1,-1
2024-07-12,2,-2
2024-07-18,1,1
2024-07-19,2,-2
2024-07-21,2,-2
2024-07-22,1,-1
2024-07-24,1,-1
