formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-03,1,-1
2023-08-06,4,-2
2023-08-07,9,-3
2023-08-08,3,3
2023-08-13,1,-1
2023-08-31,1,1
2023-09-05,2,0
2023-09-14,1,-1
2023-09-27,1,1
2023-10-02,1,-1
2023-10-10,1,-1
2023-10-11,1,1
2023-10-30,1,-1
2023-11-02,1,1
2023-11-05,1,-1
2023-11-06,10,-6
2023-11-07,22,-2
2023-11-08,1,-1
2023-11-13,1,1
2023-12-06,2,2
2023-12-11,1,-1
2024-01-01,1,-1
2024-01-20,1,-1
2024-01-29,1,1
2024-02-05,20,-14
2024-03-04,1,1
2024-03-05,1,-1
2024-03-07,1,1
2024-03-08,1,-1
2024-03-09,1,-1
2024-03-10,5,1
2024-03-11,9,-5
2024-03-12,2,2
2024-03-14,1,-1
2024-03-15,1,1
2024-03-20,1,-1
2024-03-21,4,0
2024-03-26,1,1
2024-04-15,1,-1
2024-04-18,1,1
2024-04-19,1,-1
2024-04-23,1,-1
2024-04-24,1,1
2024-04-29,1,-1
2024-05-05,4,0
2024-05-06,6,0
2024-05-07,3,-1
2024-05-10,1,-1
2024-06-28,2,-2
2024-07-11,1,1
