formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-07,1,-1
2023-08-08,6,-6
2023-08-09,2,-2
2023-08-13,3,-3
2023-08-16,1,-1
2023-08-17,1,1
2023-08-21,1,-1
2023-08-22,3,-1
2023-08-23,2,0
2023-08-24,1,-1
2023-08-27,1,1
2023-09-20,1,-1
2023-10-03,1,-1
2023-10-24,1,-1
2023-10-31,1,-1
2023-11-07,7,1
2023-11-08,1,-1
2023-11-09,1,-1
2023-11-10,1,-1
2023-11-11,1,-1
2023-11-12,1,-1
2023-11-13,1,-1
2023-11-16,1,-1
2023-11-17,1,-1
2023-11-19,1,-1
2023-11-22,1,-1
2023-11-23,1,-1
2023-11-27,1,-1
2023-12-05,1,1
2023-12-31,1,1
2024-01-04,1,-1
2024-02-01,1,-1
2024-02-06,1,-1
2024-02-07,2,-2
2024-02-09,5,-5
2024-02-15,1,1
2024-02-19,1,-1
2024-02-20,3,-1
2024-02-21,1,-1
2024-03-04,2,-2
2024-03-05,8,-8
2024-03-06,2,2
2024-03-07,2,0
2024-03-10,1,1
2024-03-16,1,-1
2024-03-20,1,1
2024-03-22,1,-1
2024-03-24,1,-1
2024-03-27,1,-1
2024-04-09,2,-2
2024-04-10,1,-1
2024-04-14,1,1
2024-04-22,1,1
2024-04-23,1,-1
2024-04-25,1,1
2024-05-07,9,-5
2024-05-08,1,1
2024-05-09,1,-1
2024-05-10,2,-2
2024-05-11,2,-2
2024-05-12,1,-1
2024-05-17,1,-1
2024-05-22,1,1
2024-05-24,1,1
2024-06-08,1,-1
2024-06-15,1,-1
2024-06-26,3,-3
2024-07-18,3,3
2024-07-23,2,-2
