formatted_date,articles,sentiment
2023-09-29,1,-1
2023-10-02,1,-1
2023-10-15,1,1
2023-10-20,1,-1
2023-11-01,1,-1
2023-11-05,1,1
2023-12-02,1,-1
2023-12-18,1,-1
2023-12-21,1,1
2024-01-01,1,1
2024-01-02,1,-1
2024-01-15,1,-1
2024-01-30,1,1
2024-02-08,1,-1
2024-02-12,1,-1
2024-02-15,1,-1
2024-02-18,2,0
2024-02-22,1,-1
2024-03-09,1,1
2024-03-13,1,1
2024-03-22,1,1
2024-03-26,1,-1
2024-04-17,1,1
2024-05-02,1,-1
2024-05-05,1,1
2024-05-08,2,2
2024-05-09,1,1
2024-05-10,1,1
2024-05-15,1,1
2024-05-22,1,1
2024-05-28,1,-1
