formatted_date,articles,sentiment
2023-08-10,4,-2
2023-08-11,2,2
2023-08-15,1,1
2023-08-24,1,-1
2023-08-25,1,1
2023-09-05,2,0
2023-09-06,3,1
2023-09-07,5,1
2023-09-13,1,-1
2023-09-15,1,-1
2023-10-04,1,1
2023-10-11,2,-2
2023-10-13,1,-1
2023-10-19,1,1
2023-10-30,1,-1
2023-11-01,2,-2
2023-11-02,2,-2
2023-11-09,2,2
2023-11-12,1,-1
2023-11-13,3,-1
2023-11-14,3,3
2023-11-24,1,-1
2023-11-30,1,1
2023-12-05,2,0
2024-01-08,2,0
2024-01-12,1,1
2024-01-15,1,1
2024-01-18,2,2
2024-01-19,2,2
2024-01-23,4,4
2024-02-05,10,-6
2024-02-15,1,-1
2024-03-01,1,1
2024-03-03,1,1
2024-03-05,1,-1
2024-03-06,1,1
2024-03-08,3,3
2024-03-12,3,1
2024-03-13,2,2
2024-03-25,5,-1
2024-03-26,1,1
2024-04-02,2,2
2024-04-05,2,2
2024-04-08,2,2
2024-04-11,2,2
2024-04-22,1,1
2024-04-23,2,2
2024-05-10,1,1
2024-05-13,4,-2
2024-05-14,1,1
2024-05-15,1,1
2024-05-29,2,0
2024-06-04,2,2
2024-06-05,2,0
2024-06-20,1,-1
2024-06-21,1,-1
2024-06-25,1,1
2024-06-28,2,2
2024-07-01,1,-1
2024-07-02,1,1
2024-07-03,3,3
2024-07-12,1,1
2024-07-15,1,1
2024-07-16,1,1
2024-07-18,1,-1
2024-07-19,2,2
2024-07-22,2,2
2024-07-25,2,2
