formatted_date,articles,sentiment
2023-08-01,4,4
2023-08-02,4,-4
2023-08-04,3,-1
2023-08-06,1,-1
2023-08-07,2,-2
2023-08-10,1,1
2023-08-11,2,2
2023-08-14,1,1
2023-08-23,1,-1
2023-08-27,1,1
2023-08-29,1,-1
2023-09-05,2,0
2023-09-06,1,1
2023-09-07,1,1
2023-09-08,2,0
2023-09-11,1,1
2023-09-13,1,-1
2023-09-14,3,-3
2023-09-19,4,0
2023-09-21,1,-1
2023-09-22,1,-1
2023-09-26,1,-1
2023-09-28,2,0
2023-10-03,1,1
2023-10-04,2,2
2023-10-10,1,1
2023-10-18,3,-1
2023-10-19,1,-1
2023-10-20,2,0
2023-10-22,2,2
2023-10-23,5,1
2023-10-24,13,3
2023-10-25,1,1
2023-10-26,1,1
2023-10-31,3,1
2023-11-01,6,0
2023-11-02,3,-1
2023-11-03,3,1
2023-11-05,1,-1
2023-11-06,1,1
2023-11-10,2,-2
2023-11-12,1,-1
2023-11-14,1,-1
2023-11-15,1,1
2023-11-17,1,1
2023-11-20,1,1
2023-11-21,1,-1
2023-12-05,8,2
2023-12-06,10,6
2023-12-07,1,-1
2023-12-12,2,2
2023-12-18,1,1
2023-12-20,4,2
2023-12-21,2,0
2023-12-25,2,2
2023-12-26,1,1
2023-12-27,3,1
2023-12-28,2,0
2024-01-03,1,1
2024-01-08,2,-2
2024-01-09,1,-1
2024-01-10,1,1
2024-01-11,13,-1
2024-01-12,3,1
2024-01-16,2,2
2024-01-23,1,-1
2024-01-30,1,1
2024-02-05,1,1
2024-02-07,1,1
2024-02-08,2,0
2024-02-09,28,-26
2024-02-10,1,-1
2024-02-11,6,2
2024-02-12,8,0
2024-02-13,9,1
2024-02-14,7,3
2024-02-15,1,1
2024-02-16,1,1
2024-02-21,1,-1
2024-03-03,1,1
2024-03-04,2,2
2024-03-06,3,-1
2024-03-11,1,1
2024-03-14,2,0
2024-03-20,1,1
2024-03-25,1,-1
2024-03-27,2,2
2024-04-02,1,1
2024-04-03,1,-1
2024-04-04,1,-1
2024-04-09,2,0
2024-04-11,1,-1
2024-04-14,2,0
2024-04-16,1,-1
2024-04-19,2,0
2024-04-23,2,0
2024-04-24,2,-2
2024-04-25,1,-1
2024-04-29,1,-1
2024-04-30,6,2
2024-05-01,10,2
2024-05-02,15,3
2024-05-03,15,5
2024-05-04,1,1
2024-05-06,1,1
2024-05-07,2,2
2024-05-08,1,1
2024-05-10,1,1
2024-05-12,1,1
2024-05-14,4,2
2024-05-23,1,-1
2024-05-29,3,1
2024-06-05,3,3
2024-06-06,1,1
2024-06-07,1,1
2024-06-09,1,-1
2024-06-11,1,1
2024-06-12,5,1
2024-06-13,6,2
2024-06-14,4,-2
2024-06-19,1,1
2024-06-20,1,1
2024-06-24,2,0
2024-06-25,1,-1
2024-07-01,1,1
2024-07-08,3,-1
2024-07-09,1,1
2024-07-12,2,2
2024-07-16,3,1
2024-07-19,1,1
2024-07-22,1,1
2024-07-23,2,-2
2024-07-24,4,0
2024-07-25,3,-3
