formatted_date,articles,sentiment
2023-08-04,1,1
2023-08-09,5,3
2023-08-10,2,2
2023-08-14,1,-1
2023-08-28,1,-1
2023-08-31,1,1
2023-09-06,1,1
2023-09-11,1,-1
2023-09-17,1,1
2023-09-18,1,-1
2023-09-25,1,1
2023-10-01,1,1
2023-10-06,1,1
2023-10-09,2,0
2023-10-12,1,-1
2023-10-16,2,0
2023-10-17,1,1
2023-10-18,1,-1
2023-10-23,2,2
2023-11-01,1,1
2023-11-03,7,1
2023-11-04,1,-1
2023-11-05,2,2
2023-11-07,3,-1
2023-11-13,1,1
2023-11-18,1,1
2023-11-26,2,0
2023-12-04,1,1
2023-12-07,1,1
2023-12-10,2,0
2023-12-12,1,1
2023-12-19,2,2
2024-01-02,1,1
2024-01-08,2,0
2024-01-10,1,1
2024-01-18,1,1
2024-01-19,1,1
2024-01-24,1,1
2024-01-25,1,1
2024-01-28,1,1
2024-02-05,1,1
2024-02-12,1,1
2024-02-13,2,2
2024-02-14,14,0
2024-02-15,5,5
2024-02-17,1,-1
2024-02-20,1,1
2024-02-22,1,1
2024-02-26,1,1
2024-03-03,1,1
2024-03-06,1,1
2024-03-07,1,1
2024-03-08,1,1
2024-03-09,1,-1
2024-03-11,3,3
2024-03-14,1,1
2024-03-15,1,-1
2024-03-17,2,2
2024-03-18,3,3
2024-03-19,2,2
2024-03-20,2,2
2024-03-21,1,1
2024-03-22,1,1
2024-03-25,2,2
2024-04-03,2,2
2024-04-08,1,1
2024-04-09,1,-1
2024-04-15,3,1
2024-04-17,2,2
2024-04-18,1,-1
2024-04-19,1,1
2024-04-22,1,1
2024-05-02,1,1
2024-05-03,10,-2
2024-05-04,1,1
2024-05-05,1,-1
2024-05-06,2,0
2024-05-09,1,-1
2024-05-12,1,-1
2024-05-20,2,0
2024-05-28,1,1
2024-05-29,1,-1
2024-05-31,1,-1
2024-06-03,1,1
2024-06-12,1,1
2024-06-13,1,1
2024-06-14,1,-1
2024-06-17,1,1
2024-06-26,1,1
2024-07-07,1,-1
2024-07-18,3,1
2024-07-19,2,0
2024-07-22,1,1
2024-07-25,1,1
