formatted_date,articles,sentiment
2023-08-01,2,0
2023-08-08,1,-1
2023-08-09,1,1
2023-08-16,1,1
2023-08-27,1,-1
2023-09-02,1,-1
2023-09-05,3,3
2023-09-06,1,1
2023-09-14,2,2
2023-09-20,1,1
2023-09-27,13,3
2023-09-28,2,2
2023-09-29,1,1
2023-10-01,4,2
2023-10-02,5,-1
2023-10-03,2,-2
2023-10-05,1,1
2023-10-06,4,2
2023-10-09,1,1
2023-10-12,2,0
2023-10-15,1,1
2023-10-16,2,0
2023-10-18,1,1
2023-10-19,1,1
2023-10-31,1,-1
2023-11-06,1,1
2023-11-13,2,2
2023-11-14,2,2
2023-11-15,3,1
2023-11-16,2,0
2023-11-19,1,1
2023-11-20,2,2
2023-11-22,1,1
2023-11-27,2,2
2023-12-01,1,1
2023-12-04,2,2
2023-12-06,2,2
2023-12-07,1,1
2023-12-08,2,0
2023-12-15,1,1
2023-12-17,1,1
2023-12-19,1,-1
2023-12-20,3,-1
2023-12-22,4,4
2023-12-23,1,1
2023-12-28,1,-1
2023-12-30,2,-2
2024-01-02,1,1
2024-01-03,2,0
2024-01-06,1,-1
2024-01-08,1,1
2024-01-09,1,1
2024-01-10,2,2
2024-01-11,1,1
2024-01-19,1,1
2024-01-22,1,1
2024-01-25,2,-2
2024-02-01,1,1
2024-02-03,1,1
2024-02-05,2,2
2024-02-06,2,0
2024-02-07,1,1
2024-02-09,11,-7
2024-02-12,2,2
2024-02-15,1,1
2024-02-16,4,2
2024-02-18,1,-1
2024-02-23,2,2
2024-02-24,1,1
2024-02-28,2,2
2024-02-29,4,2
2024-03-01,4,4
2024-03-03,1,1
2024-03-04,2,2
2024-03-05,2,0
2024-03-06,1,-1
2024-03-07,1,-1
2024-03-14,1,1
2024-03-20,2,2
2024-03-26,1,-1
2024-04-03,2,2
2024-04-09,1,1
2024-04-13,1,1
2024-04-14,3,1
2024-04-15,7,-3
2024-04-16,4,2
2024-04-17,3,-1
2024-04-18,3,-1
2024-04-19,1,-1
2024-04-22,1,1
2024-04-23,5,1
2024-04-24,1,1
2024-04-25,3,-3
2024-04-26,3,-1
2024-04-28,1,-1
2024-04-30,2,2
2024-05-08,1,1
2024-05-09,2,0
2024-05-10,4,-4
2024-05-13,6,0
2024-05-14,4,0
2024-05-15,1,1
2024-05-17,2,2
2024-05-21,1,1
2024-05-25,1,1
2024-05-28,3,1
2024-05-29,15,1
2024-05-30,9,-1
2024-05-31,1,-1
2024-06-05,1,1
2024-06-13,1,1
2024-06-17,2,-2
2024-06-25,1,-1
2024-06-28,1,1
2024-07-03,1,-1
2024-07-22,1,-1
2024-07-23,1,-1
2024-07-24,3,1
2024-07-25,1,1
