formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-02,1,1
2023-08-03,1,1
2023-08-05,1,1
2023-08-08,1,-1
2023-08-11,1,1
2023-08-14,2,0
2023-08-15,1,-1
2023-08-17,1,-1
2023-08-23,2,0
2023-08-28,2,0
2023-08-29,1,1
2023-09-06,2,0
2023-09-13,1,-1
2023-09-19,1,-1
2023-09-21,2,-2
2023-09-22,3,3
2023-09-26,1,-1
2023-09-27,1,1
2023-10-02,2,0
2023-10-04,1,-1
2023-10-06,1,1
2023-10-11,1,-1
2023-10-16,2,-2
2023-10-18,2,0
2023-10-19,1,-1
2023-10-21,1,-1
2023-10-24,1,1
2023-10-25,1,-1
2023-10-27,1,-1
2023-10-28,2,-2
2023-10-30,1,-1
2023-10-31,3,-1
2023-11-01,2,2
2023-11-02,1,-1
2023-11-05,1,-1
2023-11-08,1,1
2023-11-09,1,-1
2023-11-11,1,-1
2023-11-14,3,-1
2023-11-15,1,-1
2023-11-16,1,-1
2023-11-17,2,0
2023-11-21,2,-2
2023-11-22,1,1
2023-11-27,2,0
2023-11-28,3,1
2023-11-29,3,-1
2023-11-30,1,-1
2023-12-04,1,1
2023-12-05,1,-1
2023-12-07,2,0
2023-12-08,1,1
2023-12-12,1,-1
2023-12-18,1,-1
2023-12-19,1,1
2023-12-24,2,-2
2023-12-26,1,-1
2024-01-01,2,0
2024-01-02,2,0
2024-01-05,1,1
2024-01-08,2,0
2024-01-09,1,-1
2024-01-10,1,1
2024-01-15,1,1
2024-01-17,1,-1
2024-01-19,1,-1
2024-01-21,1,1
2024-01-23,1,-1
2024-01-31,1,-1
2024-02-01,1,1
2024-02-03,1,1
2024-02-05,1,1
2024-02-06,1,-1
2024-02-07,1,-1
2024-02-08,1,-1
2024-02-09,2,0
2024-02-12,1,1
2024-02-13,2,0
2024-02-15,2,0
2024-02-16,1,1
2024-02-20,1,-1
2024-02-25,1,-1
2024-03-07,1,-1
2024-03-12,2,0
2024-03-18,5,3
2024-03-19,2,0
2024-03-20,1,-1
2024-03-21,1,1
2024-03-27,1,-1
2024-03-28,2,-2
2024-03-29,1,1
2024-04-01,1,-1
2024-04-02,1,-1
2024-04-04,1,1
2024-04-06,2,2
2024-04-09,2,2
2024-04-11,2,-2
2024-04-13,1,-1
2024-04-14,1,-1
2024-04-16,2,-2
2024-04-18,1,1
2024-04-23,1,-1
2024-04-24,3,-1
2024-04-26,2,0
2024-04-30,2,2
2024-05-01,6,2
2024-05-04,1,-1
2024-05-05,1,1
2024-05-07,1,-1
2024-05-08,1,1
2024-05-09,2,-2
2024-05-13,2,0
2024-05-15,1,-1
2024-05-16,1,1
2024-05-17,2,0
2024-05-22,3,1
2024-05-23,1,-1
2024-05-25,1,1
2024-05-26,1,1
2024-05-27,1,1
2024-05-28,2,0
2024-05-29,2,0
2024-05-31,1,1
2024-06-03,1,-1
2024-06-05,1,-1
2024-06-07,1,1
2024-06-08,1,1
2024-06-09,1,1
2024-06-11,1,1
2024-06-12,1,-1
2024-06-17,1,1
2024-06-18,3,3
2024-06-20,1,-1
2024-06-21,1,-1
2024-06-23,1,-1
2024-06-25,1,1
2024-06-26,2,-2
2024-06-28,1,1
2024-07-02,1,-1
2024-07-03,1,-1
2024-07-11,2,2
2024-07-12,3,1
2024-07-13,1,-1
2024-07-18,1,-1
2024-07-19,1,-1
2024-07-24,1,-1
