formatted_date,articles,sentiment
2023-08-07,3,-3
2023-08-08,12,-8
2023-08-10,2,-2
2023-08-11,2,2
2023-08-12,1,-1
2023-08-13,1,-1
2023-08-17,1,-1
2023-08-23,1,-1
2023-08-25,1,-1
2023-08-27,1,-1
2023-08-30,2,-2
2023-09-01,5,1
2023-09-02,1,1
2023-09-18,1,-1
2023-09-19,1,-1
2023-09-20,1,1
2023-09-27,2,0
2023-09-28,1,1
2023-10-03,1,1
2023-10-04,2,0
2023-10-05,1,1
2023-10-08,1,1
2023-10-10,1,-1
2023-10-11,2,0
2023-10-18,3,-3
2023-10-23,1,-1
2023-10-24,1,-1
2023-10-25,11,-5
2023-10-26,17,-5
2023-10-27,1,-1
2023-10-29,1,1
2023-11-02,1,1
2023-11-09,1,1
2023-11-11,1,-1
2023-11-12,1,-1
2023-11-13,1,-1
2023-11-17,1,-1
2023-11-18,1,1
2023-11-21,1,-1
2023-11-24,1,-1
2023-11-26,1,-1
2023-11-29,2,0
2023-12-01,4,0
2023-12-02,1,1
2023-12-04,1,-1
2023-12-11,1,1
2023-12-13,1,-1
2023-12-15,1,1
2023-12-28,4,2
2024-01-03,2,2
2024-01-11,1,-1
2024-01-16,1,1
2024-01-17,1,-1
2024-01-22,1,1
2024-01-23,4,4
2024-01-24,9,-3
2024-01-25,10,0
2024-01-27,1,-1
2024-01-28,1,1
2024-02-02,1,1
2024-02-05,22,-20
2024-02-07,1,-1
2024-02-11,1,-1
2024-02-12,2,0
2024-02-20,1,-1
2024-02-25,1,-1
2024-02-27,1,-1
2024-02-28,2,2
2024-02-29,1,1
2024-03-02,1,1
2024-03-04,1,1
2024-03-06,1,1
2024-03-09,1,1
2024-03-13,2,0
2024-03-18,1,1
2024-03-26,2,-2
2024-03-27,2,0
2024-04-01,2,0
2024-04-03,2,2
2024-04-04,3,1
2024-04-09,2,2
2024-04-10,1,1
2024-04-14,1,-1
2024-04-15,1,1
2024-04-16,1,1
2024-04-17,1,-1
2024-04-23,3,3
2024-04-24,12,-6
2024-04-25,9,-1
2024-04-26,3,1
2024-05-01,1,-1
2024-05-11,1,1
2024-05-13,2,-2
2024-05-25,1,-1
2024-05-27,1,-1
2024-06-04,1,1
2024-06-08,1,-1
2024-06-09,1,-1
2024-06-10,1,1
2024-06-11,1,-1
2024-06-12,1,1
2024-06-13,1,1
2024-06-14,1,1
2024-06-18,1,-1
2024-06-21,1,1
2024-06-22,2,0
2024-06-26,1,1
2024-07-01,1,1
2024-07-04,1,1
2024-07-11,1,-1
2024-07-15,1,1
2024-07-16,1,1
2024-07-21,3,-1
2024-07-22,5,1
2024-07-23,8,0
2024-07-24,5,3
