formatted_date,articles,sentiment
2023-08-01,10,4
2023-08-02,10,-2
2023-08-03,11,1
2023-08-04,5,5
2023-08-07,2,0
2023-08-08,2,0
2023-08-09,1,1
2023-08-10,2,0
2023-08-11,2,2
2023-08-14,2,0
2023-08-15,1,1
2023-08-16,3,1
2023-08-17,2,2
2023-08-18,1,1
2023-08-22,2,-2
2023-08-23,5,1
2023-08-24,1,-1
2023-08-25,2,2
2023-08-28,2,0
2023-08-29,3,3
2023-08-30,3,-3
2023-08-31,3,1
2023-09-01,1,-1
2023-09-05,1,1
2023-09-07,1,1
2023-09-08,2,0
2023-09-11,2,-2
2023-09-12,3,-1
2023-09-13,2,-2
2023-09-14,1,-1
2023-09-15,4,0
2023-09-18,2,0
2023-09-19,2,-2
2023-09-20,1,1
2023-09-21,1,1
2023-09-22,1,1
2023-09-26,3,3
2023-09-27,2,0
2023-09-28,1,1
2023-09-29,1,-1
2023-10-03,2,2
2023-10-04,3,3
2023-10-05,2,0
2023-10-06,2,0
2023-10-07,1,-1
2023-10-09,2,2
2023-10-10,2,2
2023-10-11,1,1
2023-10-12,1,1
2023-10-13,1,1
2023-10-16,3,1
2023-10-17,1,-1
2023-10-19,1,1
2023-10-20,2,0
2023-10-24,1,-1
2023-10-25,3,1
2023-10-27,1,-1
2023-10-30,1,-1
2023-10-31,1,-1
2023-11-01,8,0
2023-11-02,13,-3
2023-11-03,8,-2
2023-11-06,1,-1
2023-11-07,1,-1
2023-11-08,1,-1
2023-11-09,1,-1
2023-11-10,1,-1
2023-11-14,1,-1
2023-11-15,2,0
2023-11-16,1,-1
2023-11-21,5,3
2023-11-22,1,1
2023-11-26,1,1
2023-11-27,1,-1
2023-11-30,1,1
2023-12-01,1,-1
2023-12-04,3,1
2023-12-05,1,-1
2023-12-06,1,-1
2023-12-07,1,-1
2023-12-08,1,-1
2023-12-18,1,-1
2023-12-19,2,0
2023-12-21,1,-1
2023-12-27,1,1
2023-12-30,1,-1
2024-01-02,1,1
2024-01-04,4,2
2024-01-05,8,6
2024-01-06,4,2
2024-01-07,2,0
2024-01-08,3,-1
2024-01-09,3,1
2024-01-10,2,2
2024-01-11,1,-1
2024-01-14,1,1
2024-01-16,4,2
2024-01-17,1,1
2024-01-18,1,1
2024-01-21,2,-2
2024-01-22,4,0
2024-01-23,5,-1
2024-01-24,3,1
2024-01-25,3,1
2024-01-26,2,0
2024-01-29,4,-2
2024-01-30,9,-1
2024-01-31,11,-1
2024-02-01,19,5
2024-02-02,1,1
2024-02-04,1,1
2024-02-05,2,0
2024-02-09,29,-29
2024-02-12,1,1
2024-02-13,1,1
2024-02-15,1,-1
2024-02-16,2,-2
2024-02-20,1,1
2024-02-22,2,-2
2024-02-29,1,-1
2024-03-01,1,1
2024-03-02,1,1
2024-03-06,1,-1
2024-03-07,2,0
2024-03-12,1,1
2024-03-15,1,1
2024-03-18,2,0
2024-03-20,3,3
2024-03-21,1,1
2024-03-22,1,1
2024-03-24,1,-1
2024-03-25,1,1
2024-03-27,1,1
2024-03-28,1,1
2024-04-02,1,-1
2024-04-08,2,2
2024-04-10,1,1
2024-04-11,1,-1
2024-04-12,3,1
2024-04-15,1,1
2024-04-16,4,0
2024-04-17,2,0
2024-04-19,1,1
2024-04-21,1,-1
2024-04-23,1,1
2024-04-24,1,1
2024-04-26,3,3
2024-04-28,2,2
2024-04-29,5,5
2024-04-30,1,-1
2024-05-01,3,3
2024-05-02,2,0
2024-05-03,1,-1
2024-05-07,4,2
2024-05-08,5,-3
2024-05-09,3,-1
2024-05-10,4,2
2024-05-13,14,0
2024-05-14,15,3
2024-05-15,25,9
2024-05-16,3,1
2024-05-17,2,2
2024-05-21,2,0
2024-05-22,3,-3
2024-05-23,2,0
2024-05-24,1,1
2024-05-25,2,-2
2024-05-29,2,-2
2024-05-30,2,2
2024-06-01,2,2
2024-06-02,1,-1
2024-06-03,4,-2
2024-06-04,7,1
2024-06-05,5,5
2024-06-07,3,3
2024-06-10,4,2
2024-06-11,3,3
2024-06-12,1,1
2024-06-13,1,1
2024-06-18,1,1
2024-06-19,1,1
2024-06-20,2,-2
2024-06-21,1,-1
2024-06-23,1,-1
2024-06-24,1,1
2024-06-25,1,-1
2024-06-28,1,-1
2024-07-01,1,-1
2024-07-12,1,1
2024-07-15,2,0
2024-07-16,1,1
2024-07-17,1,-1
2024-07-18,3,1
2024-07-19,1,1
2024-07-22,1,1
2024-07-24,1,1
2024-07-25,2,0
