formatted_date,articles,sentiment
2023-08-01,2,2
2023-08-03,1,1
2023-08-04,1,-1
2023-08-08,2,2
2023-08-10,7,1
2023-08-11,1,1
2023-08-16,1,1
2023-08-17,2,2
2023-08-24,1,1
2023-08-27,1,-1
2023-08-28,4,4
2023-08-31,2,0
2023-09-01,1,1
2023-09-05,1,-1
2023-09-23,1,-1
2023-09-26,1,1
2023-09-29,1,-1
2023-10-02,2,2
2023-10-03,1,1
2023-10-11,1,-1
2023-10-24,2,2
2023-10-26,1,1
2023-10-27,1,1
2023-11-02,3,1
2023-11-06,1,1
2023-11-07,2,2
2023-11-08,1,1
2023-11-09,8,4
2023-11-10,6,-2
2023-11-13,2,2
2023-11-14,1,-1
2023-11-21,3,3
2023-11-22,3,1
2023-11-24,1,1
2023-12-06,1,-1
2023-12-21,3,-1
2024-01-17,1,1
2024-01-18,1,1
2024-02-04,1,1
2024-02-22,3,1
2024-03-04,1,1
2024-03-07,2,2
2024-03-23,1,1
2024-03-25,7,3
2024-03-26,10,6
2024-03-27,2,-2
2024-03-29,1,-1
2024-04-01,1,1
2024-04-05,4,0
2024-04-07,1,-1
2024-04-11,1,-1
2024-04-18,1,-1
2024-04-22,4,4
2024-04-25,2,0
2024-04-26,5,5
2024-04-28,1,1
2024-04-29,1,-1
2024-05-01,2,0
2024-05-09,11,-1
2024-05-10,1,-1
2024-05-11,1,-1
2024-05-13,1,-1
2024-05-23,1,-1
2024-05-30,1,-1
2024-06-02,2,2
2024-06-03,2,0
2024-06-06,1,1
2024-06-14,2,2
2024-06-17,1,1
2024-06-19,2,0
2024-06-26,3,1
2024-06-27,2,0
2024-07-02,2,0
2024-07-03,1,-1
2024-07-14,1,1
2024-07-25,1,1
