formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-03,1,1
2023-08-04,1,1
2023-08-06,2,0
2023-08-07,11,7
2023-08-08,5,1
2023-08-09,4,2
2023-08-10,3,1
2023-08-11,2,2
2023-08-12,1,1
2023-08-15,1,1
2023-08-16,2,2
2023-08-22,1,-1
2023-08-23,1,1
2023-08-26,1,1
2023-08-29,2,2
2023-08-30,1,1
2023-09-02,1,1
2023-09-04,1,1
2023-09-13,1,1
2023-09-20,2,0
2023-09-29,1,1
2023-10-02,1,1
2023-10-05,1,1
2023-10-12,1,1
2023-10-13,1,1
2023-10-16,1,1
2023-10-17,4,2
2023-10-18,1,-1
2023-10-19,2,2
2023-10-23,2,0
2023-10-25,4,0
2023-10-26,2,2
2023-11-01,1,1
2023-11-06,6,2
2023-11-13,1,1
2023-11-15,1,1
2023-11-16,2,2
2023-11-17,1,1
2023-11-18,2,0
2023-11-19,5,1
2023-11-20,6,2
2023-11-21,6,6
2023-11-22,11,9
2023-11-24,3,3
2023-11-27,1,1
2023-12-01,1,-1
2023-12-03,1,1
2023-12-06,2,0
2023-12-07,2,2
2023-12-08,2,2
2023-12-12,1,-1
2023-12-13,1,1
2023-12-15,1,1
2023-12-16,1,1
2023-12-18,1,1
2023-12-20,1,1
2023-12-27,1,1
2024-01-03,5,1
2024-01-04,2,0
2024-01-09,1,1
2024-01-10,1,1
2024-01-11,2,0
2024-01-12,2,2
2024-01-15,1,-1
2024-01-18,1,1
2024-01-22,1,1
2024-01-23,1,1
2024-01-24,2,0
2024-01-25,2,0
2024-01-30,2,2
2024-01-31,1,1
2024-02-01,3,1
2024-02-02,1,1
2024-02-03,2,0
2024-02-04,6,2
2024-02-05,11,3
2024-02-06,10,2
2024-02-07,2,2
2024-02-06,1,-1
2024-02-07,3,1
2024-02-08,2,2
2024-02-09,11,-5
2024-02-10,1,1
2024-02-12,2,0
2024-02-13,1,-1
2024-02-15,1,-1
2024-02-17,1,-1
2024-02-19,1,1
2024-02-20,2,-2
2024-02-21,1,-1
2024-02-23,1,1
2024-02-25,1,-1
2024-02-26,2,2
2024-02-28,2,2
2024-02-29,1,1
2024-03-05,3,3
2024-03-07,1,1
2024-03-12,1,1
2024-03-15,1,1
2024-03-20,1,1
2024-03-28,1,-1
2024-03-31,1,1
2024-04-02,1,1
2024-04-09,1,1
2024-04-18,1,1
2024-04-21,1,1
2024-04-22,3,3
2024-04-30,1,-1
2024-05-01,1,-1
2024-05-02,1,1
2024-05-05,2,-2
2024-05-06,11,9
2024-05-07,10,2
2024-05-08,9,7
2024-05-09,2,2
2024-05-10,4,4
2024-05-12,1,1
2024-05-13,1,1
2024-05-14,1,1
2024-05-15,2,0
2024-05-16,1,-1
2024-05-17,1,1
2024-05-21,1,1
2024-05-22,1,1
2024-05-23,3,3
2024-05-24,1,1
2024-05-28,1,-1
2024-05-29,2,-2
2024-05-30,1,1
2024-05-31,3,3
2024-06-04,1,1
2024-06-11,1,1
2024-06-12,2,2
2024-06-13,1,1
2024-06-18,1,-1
2024-06-19,2,0
2024-06-21,1,1
2024-06-24,3,-1
2024-06-26,1,-1
2024-07-05,1,-1
2024-07-09,1,1
2024-07-16,1,-1
2024-07-17,1,-1
2024-07-19,1,1
2024-07-22,1,-1
2024-07-25,1,1
