formatted_date,articles,sentiment
2023-08-01,1,-1
2023-08-02,1,1
2023-08-10,5,1
2023-08-11,3,-1
2023-08-14,1,1
2023-08-15,1,1
2023-08-21,2,2
2023-08-22,5,5
2023-08-23,1,1
2023-08-25,1,1
2023-08-30,3,-1
2023-08-31,3,-1
2023-09-01,2,0
2023-09-04,1,1
2023-09-05,5,-1
2023-09-06,1,1
2023-09-14,1,-1
2023-09-18,3,3
2023-09-19,2,0
2023-09-20,2,-2
2023-09-23,1,1
2023-09-25,1,1
2023-09-27,1,-1
2023-10-01,1,1
2023-10-02,4,0
2023-10-04,3,3
2023-10-09,1,1
2023-10-12,1,1
2023-10-17,1,1
2023-10-19,2,0
2023-10-22,2,2
2023-10-24,4,4
2023-10-30,1,1
2023-11-01,1,-1
2023-11-06,5,3
2023-11-07,1,1
2023-11-08,2,2
2023-11-09,6,0
2023-11-10,2,-2
2023-11-12,1,-1
2023-11-27,5,3
2023-11-28,13,-1
2023-11-29,6,2
2023-12-01,1,-1
2023-12-05,1,1
2023-12-07,1,-1
2023-12-09,1,1
2023-12-10,1,1
2023-12-11,1,1
2023-12-15,1,1
2023-12-18,1,1
2024-01-02,1,-1
2024-01-07,1,-1
2024-01-08,3,-3
2024-01-09,1,-1
2024-01-21,2,0
2024-01-30,1,-1
2024-01-31,3,1
2024-02-01,2,2
2024-02-04,2,2
2024-02-27,2,0
2024-03-06,2,-2
2024-03-08,1,1
2024-03-19,1,1
2024-03-20,4,2
2024-03-21,10,4
2024-03-22,4,4
2024-03-23,1,-1
2024-03-25,2,2
2024-04-04,2,2
2024-04-19,1,-1
2024-04-26,1,1
2024-04-29,2,2
2024-05-02,1,-1
2024-05-05,1,1
2024-05-08,1,1
2024-05-12,1,1
2024-05-13,1,-1
2024-05-15,10,0
2024-05-16,2,2
2024-05-22,1,1
2024-05-24,1,1
2024-05-29,1,1
2024-06-13,3,-1
2024-06-14,7,7
2024-06-16,1,1
2024-06-17,1,-1
2024-06-18,1,-1
2024-06-20,1,-1
2024-06-21,2,0
2024-06-24,1,-1
2024-06-28,1,-1
2024-07-02,1,-1
2024-07-08,1,1
2024-07-19,1,1
2024-07-24,1,1
