formatted_date,articles,sentiment
2023-07-31,1,1
2023-08-01,2,2
2023-08-02,4,0
2023-08-03,10,-6
2023-08-04,2,-2
2023-08-07,1,1
2023-08-11,2,0
2023-08-14,1,1
2023-08-17,1,-1
2023-08-20,1,-1
2023-08-25,1,1
2023-09-13,1,-1
2023-09-14,3,-1
2023-09-15,6,-4
2023-09-18,1,-1
2023-09-19,2,2
2023-09-22,1,-1
2023-09-24,1,-1
2023-09-26,1,1
2023-09-27,1,-1
2023-09-28,1,1
2023-10-12,1,1
2023-10-16,1,1
2023-10-17,2,-2
2023-10-20,1,-1
2023-10-21,1,1
2023-10-22,1,1
2023-10-25,1,-1
2023-10-31,1,-1
2023-11-01,9,-1
2023-11-02,13,-7
2023-11-03,4,-4
2023-11-04,1,-1
2023-11-06,1,1
2023-11-09,3,-1
2023-11-14,1,-1
2023-11-15,1,-1
2023-11-16,1,1
2023-11-28,1,1
2023-11-30,4,-2
2023-12-01,1,-1
2023-12-02,1,-1
2023-12-04,1,1
2023-12-11,1,-1
2023-12-15,1,-1
2023-12-18,1,-1
2023-12-30,1,1
2024-01-02,2,0
2024-01-03,1,1
2024-01-04,1,1
2024-01-06,1,-1
2024-01-07,1,-1
2024-01-14,1,-1
2024-01-15,1,-1
2024-01-16,1,-1
2024-01-24,2,2
2024-01-30,1,1
2024-02-01,1,1
2024-02-06,1,-1
2024-02-07,2,0
2024-02-08,1,-1
2024-02-09,25,-25
2024-02-12,2,2
2024-02-13,1,-1
2024-02-14,1,-1
2024-02-16,2,0
2024-02-19,2,0
2024-02-21,5,3
2024-02-22,12,-6
2024-02-23,3,-1
2024-02-24,2,2
2024-02-26,5,-1
2024-02-27,1,1
2024-02-28,1,-1
2024-03-01,1,1
2024-03-06,1,-1
2024-03-07,2,-2
2024-03-12,2,-2
2024-03-18,1,1
2024-03-25,1,1
2024-03-27,1,1
2024-04-02,1,1
2024-04-03,1,1
2024-04-04,1,1
2024-04-11,1,1
2024-04-16,2,0
2024-04-17,3,-1
2024-04-19,2,2
2024-04-22,1,-1
2024-04-24,1,-1
2024-04-25,1,-1
2024-04-30,1,-1
2024-05-02,2,0
2024-05-06,2,2
2024-05-08,4,0
2024-05-09,11,-1
2024-05-10,6,0
2024-05-12,1,1
2024-05-13,2,-2
2024-05-14,1,-1
2024-05-15,1,-1
2024-05-16,1,1
2024-05-24,3,1
2024-05-28,1,1
2024-05-29,1,1
2024-05-31,2,0
2024-06-07,1,-1
2024-06-10,1,-1
2024-06-11,1,-1
2024-06-13,1,-1
2024-06-14,1,-1
2024-06-19,1,-1
2024-06-22,1,1
2024-06-27,1,1
2024-06-28,3,-1
2024-07-09,1,-1
2024-07-15,1,-1
2024-07-16,1,-1
2024-07-22,1,1
2024-07-23,1,-1
2024-07-24,1,1
2024-07-25,1,-1
