formatted_date,articles,sentiment
2023-08-02,4,0
2023-08-07,1,-1
2023-08-08,5,-3
2023-08-09,5,-1
2023-08-10,10,2
2023-08-11,7,1
2023-08-15,1,1
2023-08-17,2,0
2023-08-18,2,-2
2023-08-20,1,1
2023-08-25,1,1
2023-08-28,1,-1
2023-08-29,4,2
2023-08-30,1,-1
2023-08-31,2,2
2023-09-04,1,-1
2023-09-05,3,-1
2023-09-06,1,1
2023-09-11,1,1
2023-09-12,1,1
2023-09-13,1,-1
2023-09-14,1,1
2023-09-18,2,-2
2023-09-20,1,1
2023-09-24,1,1
2023-09-25,1,1
2023-09-26,2,-2
2023-09-28,1,1
2023-10-02,4,0
2023-10-03,4,2
2023-10-04,1,1
2023-10-11,7,1
2023-10-13,3,1
2023-10-16,6,4
2023-10-20,4,0
2023-10-23,4,0
2023-10-24,12,6
2023-10-25,1,1
2023-10-27,2,0
2023-10-30,2,0
2023-10-31,4,4
2023-11-01,1,1
2023-11-02,1,-1
2023-11-03,5,1
2023-11-06,2,0
2023-11-08,1,-1
2023-11-09,5,5
2023-11-20,1,1
2023-11-22,1,1
2023-11-24,3,1
2023-11-25,1,1
2023-11-27,3,-1
2023-11-28,4,2
2023-11-29,1,-1
2023-11-30,8,-2
2023-12-01,19,5
2023-12-03,2,2
2023-12-04,5,-3
2023-12-05,4,0
2023-12-07,5,1
2023-12-08,6,2
2023-12-10,2,0
2023-12-11,10,2
2023-12-12,1,1
2023-12-13,1,1
2023-12-14,1,1
2023-12-15,2,2
2023-12-17,1,-1
2023-12-19,2,-2
2023-12-21,3,3
2023-12-23,1,-1
2023-12-26,2,0
2023-12-27,3,1
2023-12-28,2,-2
2023-12-29,2,-2
2023-12-30,2,2
2024-01-01,4,4
2024-01-02,4,2
2024-01-03,8,-4
2024-01-04,3,1
2024-01-05,1,1
2024-01-06,1,-1
2024-01-08,6,6
2024-01-09,2,2
2024-01-10,4,4
2024-01-11,8,6
2024-01-12,3,1
2024-01-13,1,-1
2024-01-15,4,2
2024-01-16,1,1
2024-01-17,2,2
2024-01-18,3,3
2024-01-19,1,-1
2024-01-21,1,1
2024-01-22,3,-1
2024-01-23,1,1
2024-01-24,2,0
2024-01-25,2,-2
2024-01-26,7,-1
2024-01-28,1,1
2024-01-29,6,0
2024-02-02,4,-4
2024-02-05,3,-1
2024-02-06,20,0
2024-02-07,5,3
2024-02-08,13,3
2024-02-09,19,9
2024-02-10,1,1
2024-02-11,1,1
2024-02-12,4,2
2024-02-13,1,1
2024-02-14,4,0
2024-02-15,2,0
2024-02-16,2,0
2024-02-17,1,1
2024-02-19,2,2
2024-02-20,3,-1
2024-02-22,1,1
2024-02-23,1,-1
2024-02-26,5,1
2024-02-27,5,1
2024-02-28,7,5
2024-02-29,4,-2
2024-03-01,5,3
2024-03-03,5,1
2024-03-04,8,4
2024-03-05,7,1
2024-03-06,1,1
2024-03-07,1,1
2024-03-08,2,2
2024-03-09,2,0
2024-03-11,6,4
2024-03-12,1,-1
2024-03-13,2,0
2024-03-15,3,-1
2024-03-16,1,1
2024-03-18,3,1
2024-03-19,10,4
2024-03-20,4,2
2024-03-21,2,0
2024-03-22,2,2
2024-03-23,1,1
2024-03-25,3,1
2024-03-26,1,1
2024-03-27,2,-2
2024-03-28,1,-1
2024-03-29,2,2
2024-03-31,2,2
2024-04-01,11,-1
2024-04-02,3,-3
2024-04-03,1,1
2024-04-04,3,1
2024-04-06,1,-1
2024-04-08,4,4
2024-04-09,1,1
2024-04-10,3,1
2024-04-11,4,2
2024-04-12,8,6
2024-04-15,1,-1
2024-04-16,1,-1
2024-04-17,6,2
2024-04-18,1,1
2024-04-19,3,1
2024-04-20,1,-1
2024-04-22,3,3
2024-04-23,1,-1
2024-04-24,2,0
2024-04-28,1,-1
2024-04-29,1,1
2024-04-30,1,1
2024-05-02,4,-2
2024-05-03,1,1
2024-05-04,1,1
2024-05-06,4,2
2024-05-07,1,1
2024-05-08,7,3
2024-05-09,11,-1
2024-05-10,6,-2
2024-05-11,1,-1
2024-05-13,2,0
2024-05-14,1,1
2024-05-15,3,1
2024-05-20,2,0
2024-05-22,2,0
2024-05-24,2,0
2024-05-25,1,1
2024-05-27,1,1
2024-05-29,1,1
2024-06-03,2,0
2024-06-04,4,-2
2024-06-05,1,-1
2024-06-07,2,0
2024-06-09,1,1
2024-06-10,2,2
2024-06-11,7,1
2024-06-12,1,1
2024-06-13,5,1
2024-06-14,2,2
2024-06-15,2,2
2024-06-18,6,6
2024-06-20,3,-1
2024-06-21,4,0
2024-06-24,3,-1
2024-06-25,1,-1
2024-06-27,6,4
2024-06-28,3,3
2024-07-01,2,0
2024-07-02,1,-1
2024-07-05,1,1
2024-07-17,1,-1
2024-07-18,1,-1
2024-07-19,1,-1
2024-07-22,1,1
2024-07-23,1,1
