formatted_date,articles,sentiment
2023-08-01,5,-1
2023-08-02,1,1
2023-08-03,5,-5
2023-08-05,1,-1
2023-08-16,3,-1
2023-08-27,1,-1
2023-08-30,3,-3
2023-09-14,1,-1
2023-09-15,3,-3
2023-09-17,1,-1
2023-09-21,1,-1
2023-09-22,1,-1
2023-09-24,1,-1
2023-09-28,1,-1
2023-10-04,1,-1
2023-10-05,1,-1
2023-10-17,1,-1
2023-10-26,1,1
2023-10-29,1,-1
2023-10-30,1,-1
2023-10-31,2,-2
2023-11-01,2,-2
2023-11-02,2,-2
2023-11-05,2,-2
2023-11-09,1,-1
2023-11-15,1,1
2023-12-05,1,1
2023-12-06,1,-1
2023-12-14,1,-1
2023-12-15,1,-1
2023-12-20,2,0
2023-12-30,1,-1
2024-01-02,1,-1
2024-01-06,1,-1
2024-01-09,1,1
2024-01-22,2,2
2024-01-31,1,1
2024-02-01,1,-1
2024-02-06,1,-1
2024-02-09,10,-10
2024-02-13,1,-1
2024-02-14,1,-1
2024-02-16,1,-1
2024-02-19,4,-2
2024-02-20,3,1
2024-02-21,3,-3
2024-02-22,4,-4
2024-02-24,1,-1
2024-02-25,1,-1
2024-02-26,1,-1
2024-02-28,1,-1
2024-02-29,1,1
2024-03-05,1,-1
2024-03-15,1,-1
2024-03-17,1,-1
2024-03-18,2,-2
2024-03-25,2,-2
2024-03-27,1,-1
2024-04-10,2,0
2024-04-17,1,1
2024-04-21,1,-1
2024-04-22,1,-1
2024-04-30,1,-1
2024-05-05,1,-1
2024-05-06,5,-3
2024-05-07,3,-1
2024-05-08,1,1
2024-05-09,1,-1
2024-05-10,1,-1
2024-05-11,1,-1
2024-05-12,2,-2
2024-05-15,1,-1
2024-05-21,1,-1
2024-05-23,3,-3
2024-05-29,1,-1
2024-05-30,2,0
2024-06-01,2,-2
2024-06-10,1,-1
2024-06-11,1,1
2024-06-13,1,-1
2024-06-14,1,-1
2024-06-16,1,1
2024-06-17,1,-1
2024-06-21,1,1
2024-07-17,1,1
2024-07-19,1,-1
2024-07-22,1,-1
2024-07-25,1,-1
