formatted_date,articles,sentiment
2023-08-01,3,3
2023-08-02,2,-2
2023-08-03,1,1
2023-08-08,1,1
2023-08-10,1,1
2023-08-14,1,-1
2023-08-19,1,1
2023-08-23,4,-2
2023-08-25,2,2
2023-08-28,1,1
2023-08-30,3,-1
2023-08-31,1,1
2023-09-01,1,1
2023-09-05,1,1
2023-09-14,1,1
2023-09-18,2,2
2023-09-19,2,2
2023-09-20,1,1
2023-09-21,1,-1
2023-10-02,4,0
2023-10-03,1,1
2023-10-04,1,1
2023-10-08,1,1
2023-10-16,1,-1
2023-10-23,1,-1
2023-10-24,1,1
2023-10-25,9,-1
2023-10-26,5,-1
2023-10-31,2,2
2023-11-01,1,1
2023-11-02,1,-1
2023-11-03,1,-1
2023-11-07,2,2
2023-11-08,1,1
2023-11-09,5,3
2023-11-13,3,1
2023-11-14,3,1
2023-11-15,4,2
2023-11-16,2,2
2023-11-21,1,1
2023-11-23,1,-1
2023-11-29,1,1
2023-12-04,1,-1
2023-12-05,1,1
2023-12-06,2,2
2023-12-07,1,1
2023-12-11,3,3
2023-12-13,1,1
2023-12-15,2,0
2023-12-18,2,0
2023-12-19,1,1
2023-12-20,1,1
2023-12-22,1,1
2023-12-27,2,2
2023-12-30,1,1
2024-01-02,2,2
2024-01-03,1,-1
2024-01-06,1,1
2024-01-08,1,1
2024-01-09,4,4
2024-01-10,4,2
2024-01-11,2,2
2024-01-15,1,1
2024-01-16,1,1
2024-01-29,2,2
2024-01-30,2,2
2024-01-31,1,-1
2024-02-05,1,1
2024-02-06,25,-13
2024-02-08,3,1
2024-02-09,8,-2
2024-02-10,2,0
2024-02-11,3,-1
2024-02-12,6,6
2024-02-14,4,0
2024-02-15,1,1
2024-02-20,2,2
2024-02-22,1,-1
2024-03-05,1,1
2024-03-07,1,1
2024-03-12,1,1
2024-03-16,1,1
2024-03-17,1,1
2024-03-18,1,-1
2024-03-21,1,-1
2024-03-25,1,1
2024-03-27,1,-1
2024-03-30,1,1
2024-04-04,2,2
2024-04-08,2,0
2024-04-09,2,0
2024-04-10,2,0
2024-04-12,1,-1
2024-04-17,1,1
2024-04-19,1,1
2024-04-22,1,1
2024-04-23,6,6
2024-04-24,9,5
2024-04-25,10,2
2024-04-26,2,-2
2024-05-08,2,0
2024-05-09,1,1
2024-05-13,3,-1
2024-05-15,2,0
2024-05-20,1,1
2024-05-22,2,0
2024-05-24,1,1
2024-05-30,3,-1
2024-06-05,1,1
2024-06-09,1,-1
2024-06-11,1,1
2024-06-12,1,1
2024-06-16,1,-1
2024-06-23,1,-1
2024-06-28,1,1
2024-07-02,1,1
2024-07-05,1,-1
2024-07-11,1,1
2024-07-21,1,1
2024-07-22,1,-1
2024-07-24,4,2
2024-07-25,14,0
