formatted_date,articles,sentiment
2023-08-01,2,2
2023-08-02,1,-1
2023-08-03,1,1
2023-08-04,2,-2
2023-08-06,5,-3
2023-08-07,6,0
2023-08-08,4,-2
2023-08-09,2,2
2023-08-10,1,-1
2023-08-11,1,1
2023-08-16,2,0
2023-08-18,1,1
2023-08-22,1,1
2023-08-24,1,1
2023-08-25,1,1
2023-08-28,1,1
2023-08-29,1,-1
2023-08-30,1,-1
2023-08-31,1,-1
2023-09-04,1,1
2023-09-05,1,-1
2023-09-08,2,0
2023-09-10,2,-2
2023-09-11,2,-2
2023-09-12,1,-1
2023-09-13,1,1
2023-09-14,1,-1
2023-09-18,1,1
2023-09-19,1,1
2023-09-20,1,-1
2023-09-21,1,-1
2023-09-24,1,-1
2023-09-27,3,-1
2023-09-28,1,-1
2023-09-29,1,-1
2023-10-05,2,2
2023-10-09,1,-1
2023-10-11,1,-1
2023-10-12,1,-1
2023-10-13,1,-1
2023-10-20,1,-1
2023-10-25,1,-1
2023-10-27,1,-1
2023-10-29,7,-3
2023-10-30,5,-1
2023-10-31,3,-3
2023-11-01,1,-1
2023-11-02,2,0
2023-11-03,1,-1
2023-11-06,1,-1
2023-11-07,1,-1
2023-11-09,1,1
2023-11-10,2,-2
2023-11-20,2,2
2023-11-21,1,1
2023-11-23,1,-1
2023-11-27,1,1
2023-12-01,2,-2
2023-12-06,1,-1
2023-12-07,1,1
2023-12-10,2,0
2023-12-11,1,1
2023-12-12,2,0
2023-12-15,2,2
2023-12-17,1,-1
2023-12-19,1,-1
2023-12-20,1,-1
2023-12-22,1,1
2023-12-24,1,-1
2023-12-26,1,-1
2023-12-27,1,1
2023-12-29,3,-1
2023-12-31,1,-1
2024-01-01,1,1
2024-01-02,1,1
2024-01-04,2,0
2024-01-05,1,1
2024-01-07,1,1
2024-01-08,3,3
2024-01-11,1,-1
2024-01-17,1,-1
2024-01-18,1,-1
2024-01-22,2,2
2024-01-25,1,1
2024-01-27,2,-2
2024-01-28,7,-1
2024-01-29,4,0
2024-01-30,2,-2
2024-01-31,5,-1
2024-02-01,2,0
2024-02-02,2,-2
2024-02-04,1,1
2024-02-05,1,-1
2024-02-06,24,-24
2024-02-08,2,2
2024-02-10,1,-1
2024-02-13,2,0
2024-02-15,1,1
2024-02-20,1,-1
2024-02-21,1,-1
2024-02-23,1,1
2024-02-24,1,-1
2024-02-27,1,-1
2024-02-28,2,-2
2024-03-04,1,-1
2024-03-07,1,-1
2024-03-08,1,-1
2024-03-10,1,-1
2024-03-12,1,1
2024-03-13,4,4
2024-03-14,1,-1
2024-03-19,1,-1
2024-03-20,1,1
2024-03-22,1,-1
2024-03-24,2,-2
2024-03-26,1,1
2024-03-27,2,-2
2024-03-30,1,-1
2024-04-02,1,-1
2024-04-03,1,1
2024-04-05,1,-1
2024-04-09,1,-1
2024-04-10,1,-1
2024-04-12,1,1
2024-04-14,1,1
2024-04-19,1,1
2024-04-24,2,0
2024-04-25,2,0
2024-05-03,1,1
2024-05-06,1,1
2024-05-07,1,1
2024-05-08,2,-2
2024-05-09,1,-1
2024-05-13,6,0
2024-05-14,5,3
2024-05-15,3,-1
2024-05-16,4,-2
2024-05-17,1,1
2024-05-20,1,-1
2024-05-21,1,-1
2024-05-22,1,1
2024-05-23,1,1
2024-05-24,2,0
2024-05-25,1,1
2024-05-26,1,-1
2024-05-28,1,-1
2024-05-30,2,0
2024-05-31,1,1
2024-06-01,1,-1
2024-06-02,2,-2
2024-06-03,1,-1
2024-06-05,1,-1
2024-06-07,1,-1
2024-06-08,1,-1
2024-06-09,1,1
2024-06-11,1,-1
2024-06-12,1,-1
2024-06-13,1,1
2024-06-14,1,1
2024-06-15,1,1
2024-06-17,1,1
2024-06-18,1,1
2024-06-19,1,1
2024-06-20,2,2
2024-06-21,2,-2
2024-06-23,2,-2
2024-06-25,1,-1
2024-06-27,1,-1
2024-06-28,2,0
2024-07-01,1,1
2024-07-02,1,-1
2024-07-05,1,-1
2024-07-08,1,-1
2024-07-09,1,-1
2024-07-12,1,-1
2024-07-16,2,2
2024-07-17,1,1
2024-07-18,1,1
2024-07-21,1,-1
2024-07-23,2,-2
2024-07-24,1,1
2024-07-25,1,-1
