formatted_date,articles,sentiment
2023-08-03,1,1
2023-08-06,3,1
2023-08-07,9,-3
2023-08-08,12,-2
2023-08-10,1,-1
2023-08-16,1,-1
2023-08-17,1,-1
2023-08-24,3,3
2023-08-31,1,-1
2023-09-06,1,1
2023-09-07,1,1
2023-10-16,1,1
2023-10-19,1,1
2023-10-24,1,1
2023-10-26,3,1
2023-10-27,1,-1
2023-10-31,5,3
2023-11-02,1,1
2023-11-05,3,3
2023-11-06,5,-1
2023-11-07,4,0
2023-11-14,1,-1
2023-12-04,1,1
2023-12-21,1,1
2024-01-04,1,1
2024-01-10,1,1
2024-01-17,2,2
2024-01-18,1,1
2024-01-19,1,1
2024-01-23,3,3
2024-02-01,1,-1
2024-02-05,20,-16
2024-02-06,1,1
2024-02-13,1,-1
2024-02-14,1,1
2024-02-26,2,2
2024-02-29,1,1
2024-03-02,1,-1
2024-03-03,8,4
2024-03-04,7,1
2024-03-05,9,1
2024-03-06,2,0
2024-03-13,1,-1
2024-03-14,1,1
2024-03-19,1,-1
2024-03-21,4,-4
2024-03-25,1,1
2024-03-29,1,-1
2024-04-01,1,1
2024-04-04,1,1
2024-04-05,1,1
2024-04-12,1,1
2024-04-14,1,1
2024-04-16,1,1
2024-04-17,1,1
2024-04-19,1,-1
2024-04-20,1,-1
2024-04-23,1,1
2024-04-26,1,1
2024-04-29,3,1
2024-04-30,10,0
2024-05-01,5,-1
2024-05-03,1,1
2024-05-07,1,1
2024-05-09,2,-2
2024-05-14,1,1
2024-05-15,1,1
2024-05-17,1,1
2024-05-20,3,1
2024-05-29,1,1
2024-06-04,2,2
2024-06-06,1,1
2024-06-10,2,0
2024-06-14,1,-1
2024-06-18,2,0
2024-06-25,1,1
2024-07-25,1,1
