formatted_date,articles,sentiment
2023-07-31,3,-3
2023-08-01,10,0
2023-08-02,8,4
2023-08-04,1,1
2023-08-06,3,1
2023-08-07,5,1
2023-08-14,1,1
2023-08-17,3,3
2023-08-18,5,5
2023-08-21,2,2
2023-08-22,1,-1
2023-08-23,1,1
2023-09-06,1,-1
2023-09-07,2,0
2023-09-10,1,-1
2023-09-11,6,0
2023-09-13,1,1
2023-09-14,10,6
2023-09-15,13,1
2023-09-16,1,-1
2023-09-17,1,1
2023-09-18,3,-1
2023-09-22,1,1
2023-09-26,2,0
2023-09-27,2,0
2023-10-10,1,1
2023-10-12,3,1
2023-10-13,3,3
2023-10-18,1,-1
2023-10-19,1,-1
2023-10-20,1,1
2023-10-23,1,-1
2023-10-25,1,-1
2023-10-26,2,0
2023-10-31,2,2
2023-11-02,2,-2
2023-11-03,1,-1
2023-11-07,1,1
2023-11-08,5,1
2023-11-09,10,0
2023-11-10,8,-2
2023-11-11,2,-2
2023-11-12,5,1
2023-11-13,6,-2
2023-11-14,2,2
2023-11-16,1,-1
2023-11-17,1,-1
2023-11-22,2,2
2023-11-30,3,1
2023-12-02,2,-2
2023-12-03,1,-1
2023-12-06,1,-1
2023-12-07,3,-1
2023-12-10,1,1
2023-12-11,3,1
2023-12-12,3,3
2023-12-13,5,1
2023-12-14,2,2
2023-12-16,2,-2
2023-12-19,1,-1
2023-12-21,2,2
2023-12-22,4,2
2023-12-30,1,-1
2024-01-01,2,2
2024-01-02,1,1
2024-01-07,1,1
2024-01-08,1,-1
2024-01-09,4,2
2024-01-10,2,0
2024-01-11,4,4
2024-01-12,2,2
2024-01-17,3,-1
2024-01-18,4,2
2024-01-19,3,1
2024-01-21,3,1
2024-01-22,2,0
2024-01-24,2,0
2024-01-25,1,1
2024-01-29,2,-2
2024-01-30,2,2
2024-02-05,2,2
2024-02-09,30,-18
2024-02-13,1,-1
2024-02-14,1,1
2024-02-21,1,1
2024-02-23,1,1
2024-02-25,1,-1
2024-02-26,3,3
2024-02-27,12,2
2024-02-28,22,0
2024-02-29,18,2
2024-03-01,4,4
2024-03-04,1,1
2024-03-05,1,1
2024-03-11,2,2
2024-03-12,5,5
2024-03-13,2,0
2024-03-18,1,1
2024-03-19,2,-2
2024-03-21,1,-1
2024-03-26,1,1
2024-03-27,2,0
2024-03-28,2,2
2024-03-29,1,-1
2024-04-03,2,2
2024-04-04,1,-1
2024-04-05,1,-1
2024-04-08,1,1
2024-04-09,1,-1
2024-04-10,2,2
2024-04-11,1,1
2024-04-12,1,-1
2024-04-14,1,1
2024-04-15,2,0
2024-04-16,1,-1
2024-04-22,4,-4
2024-04-23,2,2
2024-04-24,1,-1
2024-04-28,1,1
2024-04-30,1,-1
2024-05-02,1,-1
2024-05-06,9,1
2024-05-07,17,-1
2024-05-08,51,-13
2024-05-09,9,1
2024-05-10,1,-1
2024-05-11,2,0
2024-05-12,2,0
2024-05-14,1,1
2024-05-15,2,0
2024-05-16,3,-1
2024-05-17,1,-1
2024-05-20,1,1
2024-05-21,6,-2
2024-05-23,2,0
2024-05-24,1,-1
2024-05-28,1,-1
2024-05-29,1,-1
2024-05-30,1,-1
2024-06-04,2,-2
2024-06-05,1,-1
2024-06-11,1,-1
2024-06-12,1,1
2024-06-13,4,2
2024-06-14,2,0
2024-06-17,2,0
2024-06-18,3,-1
2024-06-19,1,-1
2024-06-23,1,-1
2024-06-24,1,1
2024-06-25,7,3
2024-06-26,1,1
2024-06-27,1,1
2024-06-28,1,1
2024-07-02,2,0
2024-07-03,1,1
2024-07-04,1,1
2024-07-09,1,-1
2024-07-10,1,-1
2024-07-11,1,1
2024-07-15,2,0
2024-07-16,1,1
2024-07-21,1,1
2024-07-22,2,-2
2024-07-23,2,0
2024-07-24,1,1
