formatted_date,articles,sentiment
2023-08-01,2,-2
2023-08-03,2,-2
2023-08-16,1,1
2023-08-22,2,0
2023-08-28,2,-2
2023-08-29,1,-1
2023-08-30,1,1
2023-08-31,1,-1
2023-09-01,2,0
2023-09-03,1,-1
2023-09-21,1,-1
2023-09-22,2,-2
2023-09-23,1,1
2023-09-26,1,1
2023-09-27,3,1
2023-09-29,2,-2
2023-10-02,2,-2
2023-10-03,1,-1
2023-10-04,1,1
2023-10-06,1,-1
2023-10-12,1,-1
2023-10-16,1,1
2023-10-17,1,1
2023-10-20,1,1
2023-10-23,1,-1
2023-10-28,1,1
2023-10-30,1,1
2023-10-31,1,-1
2023-11-01,2,-2
2023-11-02,2,0
2023-11-06,4,2
2023-11-07,4,2
2023-11-08,1,-1
2023-11-09,1,-1
2023-11-11,1,-1
2023-11-13,1,-1
2023-11-14,1,-1
2023-11-15,1,1
2023-11-16,1,-1
2023-11-17,1,-1
2023-11-21,1,-1
2023-11-30,1,-1
2023-12-01,2,-2
2023-12-04,1,-1
2023-12-06,2,2
2023-12-10,1,-1
2023-12-11,3,1
2023-12-13,2,2
2023-12-14,1,1
2023-12-18,1,-1
2023-12-19,1,-1
2023-12-29,1,-1
2024-01-02,3,-1
2024-01-03,4,-2
2024-01-04,1,1
2024-01-05,1,1
2024-01-07,1,1
2024-01-08,4,2
2024-01-10,1,1
2024-01-11,2,2
2024-01-12,1,-1
2024-01-15,1,1
2024-01-19,1,-1
2024-01-21,2,0
2024-01-24,1,-1
2024-01-26,1,1
2024-01-29,2,2
2024-01-30,1,-1
2024-01-31,1,-1
2024-02-01,1,-1
2024-02-02,1,-1
2024-02-06,2,2
2024-02-07,1,1
2024-02-08,2,-2
2024-02-09,1,1
2024-02-12,1,-1
2024-02-13,1,-1
2024-02-16,1,-1
2024-02-22,1,1
2024-02-23,2,0
2024-02-26,1,-1
2024-02-29,1,-1
2024-03-01,2,-2
2024-03-03,1,-1
2024-03-04,2,-2
2024-03-05,1,-1
2024-03-06,1,1
2024-03-14,1,1
2024-03-17,1,1
2024-03-18,1,1
2024-03-22,1,-1
2024-03-28,1,-1
2024-04-01,1,-1
2024-04-02,1,-1
2024-04-08,1,-1
2024-04-12,1,1
2024-04-16,1,1
2024-04-17,2,-2
2024-04-18,1,1
2024-04-22,2,0
2024-04-23,2,2
2024-04-24,3,-1
2024-04-26,1,-1
2024-04-29,4,-2
2024-04-30,1,-1
2024-05-01,1,-1
2024-05-02,1,-1
2024-05-03,2,2
2024-05-06,1,-1
2024-05-14,2,0
2024-05-15,2,-2
2024-05-20,2,0
2024-05-21,4,0
2024-05-22,1,-1
2024-05-23,1,1
2024-05-28,2,0
2024-05-29,1,-1
2024-05-30,1,-1
2024-05-31,1,-1
2024-06-03,3,-1
2024-06-05,1,-1
2024-06-10,1,-1
2024-06-12,3,1
2024-06-25,1,1
2024-06-27,1,-1
2024-06-28,2,0
2024-07-01,1,-1
2024-07-08,1,1
2024-07-10,1,1
2024-07-11,1,-1
2024-07-15,1,-1
2024-07-17,2,0
2024-07-18,1,1
2024-07-19,1,1
2024-07-22,1,-1
