formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-03,1,-1
2023-08-07,1,-1
2023-08-08,6,-2
2023-08-09,1,-1
2023-08-13,1,1
2023-08-16,1,1
2023-08-21,3,-1
2023-08-30,1,1
2023-09-07,1,1
2023-09-11,1,-1
2023-09-14,2,0
2023-09-29,1,-1
2023-10-12,1,1
2023-10-20,1,-1
2023-10-31,1,1
2023-11-03,4,0
2023-11-06,1,-1
2023-11-07,3,-1
2023-11-08,3,-3
2023-11-09,8,-6
2023-11-20,1,-1
2023-11-21,1,1
2023-11-30,1,1
2023-12-07,1,1
2023-12-21,2,2
2023-12-25,1,1
2023-12-26,2,-2
2024-01-01,1,-1
2024-01-03,1,-1
2024-01-17,1,1
2024-01-18,1,-1
2024-01-20,1,1
2024-02-06,21,-21
2024-02-09,1,-1
2024-02-12,1,1
2024-02-28,1,1
2024-03-03,2,2
2024-03-04,5,-5
2024-03-05,3,-3
2024-03-06,2,0
2024-03-07,2,-2
2024-03-17,1,-1
2024-03-27,1,1
2024-04-05,1,1
2024-04-22,1,-1
2024-04-26,2,0
2024-04-29,1,-1
2024-04-30,1,-1
2024-05-03,1,1
2024-05-06,1,-1
2024-05-07,2,0
2024-05-08,4,-4
2024-05-09,3,-3
2024-05-10,1,-1
2024-05-15,1,-1
2024-05-23,2,-2
2024-05-29,1,1
2024-06-12,1,-1
2024-06-13,2,2
2024-06-26,1,1
2024-06-27,1,1
2024-07-03,2,0
2024-07-09,2,-2
2024-07-12,1,1
2024-07-17,1,1
2024-07-22,1,1
2024-07-24,1,-1
