formatted_date,articles,sentiment
2023-08-01,2,-2
2023-08-10,1,-1
2023-09-05,1,1
2023-09-18,1,-1
2023-09-21,1,-1
2023-09-25,2,-2
2023-09-26,1,-1
2023-09-28,1,1
2023-10-01,2,-2
2023-10-02,1,1
2023-10-03,2,2
2023-10-05,1,-1
2023-10-12,1,1
2023-10-14,1,-1
2023-10-24,1,-1
2023-10-25,3,1
2023-10-26,3,-3
2023-11-03,1,1
2023-12-01,1,-1
2023-12-04,1,1
2023-12-18,1,-1
2023-12-19,2,2
2023-12-24,1,-1
2023-12-25,1,-1
2023-12-26,1,1
2024-01-10,1,-1
2024-01-23,1,1
2024-01-24,2,0
2024-01-29,2,0
2024-02-06,1,-1
2024-02-08,2,0
2024-02-12,2,0
2024-02-13,2,-2
2024-03-05,1,1
2024-03-06,2,0
2024-03-18,1,-1
2024-03-19,1,-1
2024-03-24,1,-1
2024-03-25,1,1
2024-04-05,1,-1
2024-04-13,1,-1
2024-04-24,2,0
2024-05-01,3,1
2024-05-03,1,1
2024-05-08,1,1
2024-05-20,1,1
2024-05-21,2,2
2024-06-05,2,2
2024-06-10,1,1
2024-06-11,3,1
2024-06-24,1,-1
2024-06-25,1,-1
2024-06-29,1,-1
2024-07-12,1,-1
