formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-09,3,1
2023-08-26,1,-1
2023-08-27,1,-1
2023-08-30,1,1
2023-09-06,1,-1
2023-09-08,1,-1
2023-09-22,1,1
2023-10-02,1,1
2023-10-05,1,-1
2023-10-19,2,2
2023-10-20,1,1
2023-10-26,8,-4
2023-10-27,2,-2
2023-10-30,3,3
2023-11-04,1,-1
2023-11-05,1,1
2023-11-09,1,1
2023-11-13,3,1
2023-11-23,1,1
2023-11-26,2,-2
2023-12-06,1,-1
2023-12-10,1,-1
2023-12-14,3,3
2023-12-20,1,1
2023-12-23,1,1
2024-01-04,1,1
2024-01-08,1,1
2024-01-11,1,-1
2024-01-17,1,1
2024-01-18,1,1
2024-01-22,1,1
2024-01-23,3,3
2024-01-24,2,0
2024-01-25,6,0
2024-01-26,5,-1
2024-01-27,1,-1
2024-01-29,1,1
2024-02-01,2,2
2024-02-06,22,-22
2024-02-07,3,-1
2024-02-08,2,2
2024-02-24,1,1
2024-02-25,1,-1
2024-02-29,1,-1
2024-03-03,1,1
2024-03-06,1,1
2024-03-10,1,-1
2024-04-04,1,-1
2024-04-14,1,1
2024-04-15,2,2
2024-04-18,1,1
2024-04-21,1,1
2024-04-25,12,-4
2024-04-26,2,0
2024-04-28,1,1
2024-04-29,2,2
2024-04-30,1,-1
2024-05-01,1,-1
2024-05-02,1,-1
2024-05-08,6,4
2024-05-09,1,-1
2024-05-11,1,1
2024-05-12,1,1
2024-05-29,1,-1
2024-05-30,1,1
2024-06-01,1,-1
2024-06-06,1,-1
2024-06-07,1,1
2024-06-14,1,1
2024-06-20,1,1
2024-06-21,1,1
2024-06-22,1,1
2024-06-26,1,1
2024-06-27,1,1
2024-06-28,1,-1
2024-07-03,1,-1
2024-07-08,1,1
2024-07-09,1,1
2024-07-11,1,-1
2024-07-15,1,1
2024-07-18,2,0
2024-07-25,9,-5
