formatted_date,articles,sentiment
2023-08-03,1,1
2023-08-04,1,1
2023-08-05,1,-1
2023-08-07,5,-1
2023-08-08,7,-1
2023-08-09,2,-2
2023-08-11,1,1
2023-08-12,1,-1
2023-08-19,1,-1
2023-08-20,1,1
2023-08-21,4,-2
2023-08-22,1,1
2023-08-24,1,1
2023-08-25,1,1
2023-08-26,1,-1
2023-08-30,2,2
2023-09-02,1,-1
2023-09-06,1,-1
2023-09-08,1,1
2023-09-09,1,1
2023-09-15,1,1
2023-09-16,2,2
2023-09-18,1,-1
2023-09-22,1,1
2023-09-23,1,1
2023-09-25,2,-2
2023-09-26,4,-2
2023-09-30,1,-1
2023-10-03,3,3
2023-10-07,1,1
2023-10-14,1,-1
2023-10-19,3,1
2023-10-20,1,-1
2023-10-21,1,-1
2023-10-23,3,1
2023-10-24,3,-1
2023-10-26,2,2
2023-10-27,2,0
2023-10-28,1,-1
2023-10-30,1,-1
2023-10-31,2,2
2023-11-01,1,-1
2023-11-02,1,1
2023-11-04,1,-1
2023-11-09,1,1
2023-11-11,1,1
2023-11-12,1,1
2023-11-13,3,-1
2023-11-14,6,-4
2023-11-15,1,1
2023-11-16,1,1
2023-11-18,1,-1
2023-11-20,2,0
2023-11-24,1,-1
2023-11-25,1,-1
2023-11-27,2,0
2023-12-02,1,-1
2023-12-04,1,1
2023-12-05,7,3
2023-12-09,1,-1
2023-12-11,1,1
2023-12-16,1,-1
2023-12-26,1,1
2023-12-30,1,1
2024-01-04,1,-1
2024-01-06,1,1
2024-01-07,1,-1
2024-01-09,2,2
2024-01-13,1,1
2024-01-16,1,1
2024-01-17,1,-1
2024-01-19,1,1
2024-01-20,2,-2
2024-01-22,1,1
2024-01-24,1,-1
2024-01-25,1,-1
2024-01-27,1,-1
2024-02-06,4,4
2024-02-07,10,-8
2024-02-08,2,2
2024-02-10,1,-1
2024-02-17,1,1
2024-02-20,1,-1
2024-02-22,1,1
2024-02-24,1,-1
2024-03-02,1,-1
2024-03-05,1,1
2024-03-06,3,-1
2024-03-09,1,1
2024-03-11,1,1
2024-03-12,1,1
2024-03-16,1,1
2024-03-18,1,1
2024-03-21,6,2
2024-03-22,19,-1
2024-03-23,1,-1
2024-03-25,1,-1
2024-03-30,2,-2
2024-04-02,2,2
2024-04-04,1,1
2024-04-06,1,-1
2024-04-13,1,-1
2024-04-20,1,-1
2024-04-23,1,1
2024-04-27,1,-1
2024-04-29,1,1
2024-05-02,1,1
2024-05-04,1,1
2024-05-06,1,-1
2024-05-07,2,-2
2024-05-09,1,-1
2024-05-11,1,-1
2024-05-12,6,-2
2024-05-13,3,1
2024-05-14,3,-1
2024-05-18,1,1
2024-05-25,1,1
2024-05-30,2,2
2024-06-01,1,1
2024-06-02,2,-2
2024-06-05,3,-3
2024-06-08,1,-1
2024-06-12,2,0
2024-06-15,1,-1
2024-06-19,1,-1
2024-06-20,1,1
2024-06-22,1,-1
2024-06-23,2,0
2024-06-24,1,-1
2024-06-25,1,1
2024-06-27,1,-1
2024-07-08,1,-1
2024-07-18,2,-2
2024-07-19,7,3
2024-07-20,1,-1
2024-07-23,2,2
2024-07-24,1,1
