formatted_date,articles,sentiment
2023-08-04,1,1
2023-08-06,1,-1
2023-08-08,1,1
2023-08-10,1,-1
2023-08-11,2,2
2023-08-13,2,-2
2023-08-14,4,0
2023-08-19,1,1
2023-08-28,2,0
2023-09-10,1,1
2023-09-19,2,2
2023-10-10,3,3
2023-10-13,1,1
2023-10-26,3,-1
2023-11-08,1,1
2023-11-09,1,1
2023-11-13,6,-2
2023-11-16,1,1
2023-11-22,1,1
2023-11-27,1,1
2023-12-08,3,3
2024-01-02,2,2
2024-01-04,1,1
2024-01-12,1,-1
2024-01-29,1,1
2024-01-30,1,-1
2024-01-31,3,3
2024-02-07,7,-7
2024-02-28,2,2
2024-02-29,1,1
2024-03-05,1,1
2024-03-20,2,2
2024-03-25,3,3
2024-03-27,1,1
2024-03-28,8,-4
2024-03-31,1,-1
2024-04-01,2,0
2024-04-02,2,0
2024-04-04,7,5
2024-04-05,1,1
2024-04-09,4,4
2024-04-11,1,1
2024-04-14,1,-1
2024-04-15,2,0
2024-04-16,4,2
2024-04-18,1,1
2024-05-01,8,2
2024-05-02,4,0
2024-05-07,1,-1
2024-05-08,4,0
2024-05-11,1,1
2024-05-15,2,0
2024-05-28,2,2
2024-05-29,2,2
2024-06-05,4,4
2024-06-06,1,1
2024-07-05,1,1
2024-07-12,1,1
2024-07-17,1,1
