formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-02,1,1
2023-08-17,2,2
2023-08-18,1,1
2023-08-24,1,-1
2023-08-27,1,-1
2023-09-07,1,1
2023-09-12,1,1
2023-09-19,1,-1
2023-09-20,1,-1
2023-09-22,1,1
2023-09-24,1,-1
2023-09-25,2,0
2023-09-26,2,2
2023-09-28,2,2
2023-10-04,1,-1
2023-10-12,2,-2
2023-10-22,1,1
2023-10-24,4,4
2023-10-25,6,-2
2023-10-26,5,1
2023-10-27,4,-2
2023-10-29,1,1
2023-10-30,2,2
2023-11-04,2,-2
2023-11-06,1,-1
2023-11-19,1,1
2023-11-27,1,1
2023-12-16,1,1
2023-12-18,6,2
2023-12-19,2,2
2023-12-23,1,1
2023-12-25,1,1
2023-12-26,1,1
2023-12-27,1,1
2024-01-03,1,-1
2024-01-11,1,1
2024-01-16,1,1
2024-01-20,1,1
2024-01-22,1,-1
2024-01-23,4,0
2024-01-24,6,-2
2024-01-25,5,-1
2024-01-26,2,0
2024-01-27,1,-1
2024-01-29,3,3
2024-01-30,1,-1
2024-01-31,1,1
2024-02-01,2,0
2024-02-07,23,-17
2024-03-07,1,1
2024-03-13,1,-1
2024-03-17,2,0
2024-03-18,1,-1
2024-03-21,1,-1
2024-03-25,2,2
2024-03-28,1,1
2024-04-03,1,-1
2024-04-16,2,2
2024-04-23,1,1
2024-04-24,6,-2
2024-04-25,4,2
2024-04-26,1,-1
2024-04-27,1,1
2024-04-29,2,2
2024-04-30,1,-1
2024-05-13,1,1
2024-05-30,1,1
2024-06-10,1,1
2024-06-12,1,1
2024-06-17,1,-1
2024-06-18,1,-1
2024-06-23,1,-1
2024-06-26,1,1
2024-07-04,1,1
2024-07-08,1,-1
2024-07-17,1,1
2024-07-23,3,-1
2024-07-24,6,0
2024-07-25,2,-2
