formatted_date,articles,sentiment
2023-08-08,4,4
2023-08-09,3,-1
2023-08-22,3,3
2023-08-23,21,7
2023-08-24,1,1
2023-08-25,1,-1
2023-08-26,1,-1
2023-09-06,1,-1
2023-10-06,1,1
2023-10-11,4,2
2023-10-13,1,-1
2023-10-16,2,-2
2023-10-17,3,-1
2023-10-19,1,1
2023-10-25,1,-1
2023-10-31,1,-1
2023-11-04,1,-1
2023-11-07,4,2
2023-11-08,1,1
2023-11-10,1,1
2023-11-13,2,2
2023-11-21,1,1
2023-11-27,1,1
2023-12-11,1,1
2023-12-13,1,1
2024-01-03,1,-1
2024-01-04,1,1
2024-01-05,1,1
2024-01-08,2,2
2024-01-10,1,1
2024-01-30,1,1
2024-02-07,9,-3
2024-02-26,1,1
2024-03-01,1,-1
2024-03-05,3,-1
2024-03-06,5,3
2024-03-07,1,1
2024-03-10,1,1
2024-03-12,2,0
2024-03-17,1,-1
2024-03-21,1,1
2024-04-06,1,-1
2024-04-07,1,1
2024-04-12,1,-1
2024-04-15,1,1
2024-05-09,1,1
2024-05-10,15,9
2024-05-13,6,4
2024-05-28,1,1
2024-06-05,2,-2
2024-06-17,2,0
2024-06-18,2,0
2024-06-23,1,-1
2024-06-27,1,1
2024-07-08,2,0
2024-07-09,1,1
