formatted_date,articles,sentiment
2023-08-01,1,-1
2023-08-02,7,1
2023-08-03,1,1
2023-08-07,1,1
2023-08-16,1,-1
2023-08-18,1,-1
2023-10-11,1,-1
2023-10-31,3,1
2023-11-01,5,-3
2023-11-02,3,-3
2023-11-09,1,1
2023-11-16,1,1
2023-11-26,1,1
2023-12-28,1,-1
2024-01-02,1,1
2024-01-03,1,1
2024-01-16,1,1
2024-01-17,1,1
2024-01-24,1,1
2024-02-02,1,1
2024-02-04,6,-4
2024-02-05,5,-3
2024-02-06,3,-1
2024-02-07,23,-17
2024-03-20,1,-1
2024-04-10,1,-1
2024-04-15,1,-1
2024-04-17,1,1
2024-04-22,1,1
2024-04-25,8,-2
2024-04-26,2,0
2024-04-30,1,-1
2024-05-16,1,-1
2024-05-17,1,-1
2024-05-23,1,-1
2024-06-26,1,-1
2024-07-10,1,-1
2024-07-15,1,-1
