formatted_date,articles,sentiment
2023-07-31,1,-1
2023-08-01,1,1
2023-08-02,1,1
2023-08-07,1,-1
2023-08-10,2,2
2023-08-11,1,-1
2023-08-14,1,-1
2023-08-17,1,1
2023-08-21,1,1
2023-08-22,3,-1
2023-08-24,1,-1
2023-08-25,2,0
2023-08-27,1,-1
2023-09-01,1,-1
2023-09-02,1,-1
2023-09-05,1,1
2023-09-10,1,1
2023-09-13,2,-2
2023-09-18,1,1
2023-09-20,1,-1
2023-09-25,1,1
2023-09-26,1,1
2023-09-28,1,1
2023-09-29,1,-1
2023-09-30,1,-1
2023-10-01,1,1
2023-10-02,1,1
2023-10-03,3,-1
2023-10-04,2,0
2023-10-05,3,1
2023-10-07,1,-1
2023-10-08,1,1
2023-10-09,1,-1
2023-10-11,4,0
2023-10-12,3,1
2023-10-15,1,-1
2023-10-18,8,-2
2023-10-19,18,-2
2023-10-20,46,0
2023-10-21,2,0
2023-10-22,1,-1
2023-10-23,1,-1
2023-10-26,1,-1
2023-10-30,1,-1
2023-11-02,1,-1
2023-11-05,1,-1
2023-11-08,1,-1
2023-11-13,1,-1
2023-11-17,1,1
2023-11-21,1,1
2023-11-22,1,-1
2023-11-24,2,-2
2023-11-28,1,1
2023-11-29,1,-1
2023-11-30,2,2
2023-12-01,1,-1
2023-12-02,1,1
2023-12-06,2,-2
2023-12-20,1,-1
2023-12-21,1,1
2023-12-22,1,1
2023-12-29,1,-1
2024-01-04,1,1
2024-01-09,2,0
2024-01-10,4,4
2024-01-12,1,1
2024-01-16,1,1
2024-01-17,3,1
2024-01-18,2,0
2024-01-19,2,2
2024-01-21,1,1
2024-01-22,3,-1
2024-01-23,8,2
2024-01-24,9,-3
2024-01-25,7,-1
2024-01-26,3,-1
2024-01-28,1,1
2024-01-29,1,-1
2024-02-01,1,-1
2024-02-02,4,2
2024-02-05,1,1
2024-02-06,1,1
2024-02-07,1,-1
2024-02-10,9,-9
2024-02-12,1,-1
2024-02-15,1,-1
2024-02-21,2,-2
2024-02-23,2,-2
2024-02-26,2,2
2024-02-27,7,-5
2024-02-28,2,0
2024-02-29,3,-1
2024-03-02,1,1
2024-03-03,2,0
2024-03-04,1,1
2024-03-05,1,1
2024-03-07,1,1
2024-03-14,4,0
2024-03-17,1,1
2024-03-20,1,-1
2024-03-23,1,1
2024-03-25,2,0
2024-03-28,2,0
2024-03-31,2,2
2024-04-02,1,1
2024-04-06,1,-1
2024-04-09,1,1
2024-04-10,1,1
2024-04-11,2,2
2024-04-13,1,-1
2024-04-15,1,1
2024-04-16,2,0
2024-04-17,14,2
2024-04-18,13,3
2024-04-21,1,1
2024-04-22,3,-3
2024-04-23,4,0
2024-04-24,9,-1
2024-04-25,4,-2
2024-04-26,8,-6
2024-04-29,2,-2
2024-04-30,3,-1
2024-05-01,2,-2
2024-05-02,1,-1
2024-05-05,1,-1
2024-05-10,1,1
2024-05-15,2,2
2024-05-22,1,-1
2024-05-23,1,1
2024-06-01,1,-1
2024-06-05,1,1
2024-06-06,1,-1
2024-06-07,1,1
2024-06-10,2,2
2024-06-14,1,1
2024-06-19,1,-1
2024-06-20,2,-2
2024-06-24,1,-1
2024-06-25,1,1
2024-06-28,1,1
2024-07-01,1,1
2024-07-05,1,1
2024-07-11,1,-1
2024-07-13,1,1
2024-07-16,1,-1
2024-07-17,1,-1
2024-07-18,2,-2
2024-07-19,1,1
2024-07-21,1,1
2024-07-22,1,1
2024-07-23,4,-2
2024-07-24,20,-12
2024-07-25,7,5
