formatted_date,articles,sentiment
2023-08-01,2,2
2023-08-13,1,-1
2023-08-14,1,1
2023-08-15,1,-1
2023-08-16,1,1
2023-08-17,1,1
2023-08-18,1,-1
2023-08-21,1,-1
2023-08-27,1,-1
2023-08-30,1,-1
2023-09-01,6,6
2023-09-05,1,1
2023-09-21,1,-1
2023-09-25,1,1
2023-09-28,1,1
2023-10-05,1,1
2023-10-18,1,1
2023-10-22,1,1
2023-10-24,1,1
2023-10-25,2,-2
2023-10-26,3,1
2023-10-27,5,-1
2023-10-30,3,1
2023-11-03,2,2
2023-11-07,2,0
2023-11-12,1,-1
2023-11-13,1,1
2023-11-20,1,1
2023-11-23,1,-1
2023-11-27,1,1
2023-11-28,1,1
2023-11-29,1,-1
2023-11-30,1,-1
2023-12-03,1,1
2023-12-04,2,2
2023-12-05,2,-2
2023-12-15,1,1
2023-12-16,1,-1
2023-12-21,1,1
2024-01-05,1,-1
2024-01-12,1,1
2024-01-16,2,2
2024-01-22,1,1
2024-01-23,1,1
2024-01-30,1,1
2024-02-01,3,3
2024-02-02,5,5
2024-02-05,1,1
2024-02-06,3,3
2024-02-07,1,1
2024-02-08,2,2
2024-02-09,1,-1
2024-02-10,20,-14
2024-02-13,1,1
2024-02-14,1,-1
2024-02-15,3,3
2024-02-18,1,1
2024-02-19,1,1
2024-02-20,4,0
2024-02-21,1,1
2024-02-22,5,3
2024-02-23,3,-1
2024-02-24,2,-2
2024-02-26,1,1
2024-02-28,1,-1
2024-03-04,1,1
2024-03-06,1,-1
2024-03-12,1,-1
2024-03-13,1,1
2024-03-14,1,1
2024-03-19,1,1
2024-03-24,1,1
2024-03-26,1,-1
2024-03-28,1,1
2024-03-31,1,-1
2024-04-01,1,-1
2024-04-05,1,1
2024-04-09,1,1
2024-04-10,1,-1
2024-04-11,1,1
2024-04-12,2,2
2024-04-13,1,1
2024-04-15,1,-1
2024-04-16,1,1
2024-04-23,4,2
2024-04-24,3,1
2024-04-25,1,-1
2024-04-26,6,4
2024-04-29,2,0
2024-04-30,3,-1
2024-05-01,1,-1
2024-05-03,1,1
2024-05-08,1,1
2024-05-09,1,1
2024-05-10,2,0
2024-05-11,1,-1
2024-05-13,2,0
2024-05-15,1,-1
2024-05-17,2,0
2024-05-29,1,-1
2024-05-30,1,1
2024-05-31,1,1
2024-06-05,1,-1
2024-06-06,1,1
2024-06-13,1,1
2024-06-18,1,1
2024-06-28,1,1
2024-07-07,1,1
2024-07-11,2,0
2024-07-12,2,2
2024-07-17,2,0
2024-07-18,2,0
2024-07-19,5,1
2024-07-21,2,2
2024-07-22,1,1
2024-07-23,1,1
2024-07-25,1,1
