formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-02,9,-1
2023-08-03,5,-3
2023-08-04,1,-1
2023-08-10,1,1
2023-08-15,1,1
2023-08-23,1,-1
2023-08-28,1,1
2023-08-29,1,1
2023-08-30,2,2
2023-09-01,2,-2
2023-09-03,1,1
2023-09-04,1,1
2023-09-06,1,-1
2023-09-13,1,-1
2023-09-17,1,-1
2023-09-18,2,2
2023-09-19,1,-1
2023-09-21,2,2
2023-09-22,2,0
2023-09-24,1,-1
2023-09-25,2,0
2023-09-26,1,1
2023-09-27,1,1
2023-09-28,1,-1
2023-10-02,2,2
2023-10-05,2,2
2023-10-06,3,3
2023-10-09,1,1
2023-10-11,1,1
2023-10-16,1,1
2023-10-17,1,-1
2023-10-18,2,0
2023-10-19,1,1
2023-10-20,2,0
2023-10-22,1,1
2023-10-23,1,1
2023-10-26,4,2
2023-10-30,1,1
2023-10-31,4,2
2023-11-01,3,-3
2023-11-02,9,3
2023-11-03,1,-1
2023-11-06,4,2
2023-11-07,1,1
2023-11-09,1,1
2023-11-10,1,1
2023-11-13,3,1
2023-11-19,4,4
2023-11-20,7,3
2023-11-22,2,-2
2023-11-23,3,1
2023-11-24,1,-1
2023-11-26,1,1
2023-11-27,2,0
2023-11-29,1,1
2023-11-30,2,0
2023-12-04,2,2
2023-12-06,2,2
2023-12-07,1,1
2023-12-08,2,0
2023-12-09,1,-1
2023-12-11,4,0
2023-12-12,1,-1
2023-12-15,1,1
2023-12-16,2,2
2023-12-18,2,0
2023-12-20,2,0
2023-12-21,1,1
2023-12-22,3,-3
2023-12-25,1,1
2023-12-27,2,-2
2023-12-28,1,-1
2023-12-30,1,-1
2023-12-31,1,-1
2024-01-01,1,-1
2024-01-02,1,1
2024-01-03,1,1
2024-01-04,4,2
2024-01-05,2,0
2024-01-06,1,-1
2024-01-08,2,2
2024-01-10,2,0
2024-01-11,5,-1
2024-01-12,1,1
2024-01-13,1,-1
2024-01-15,1,1
2024-01-16,2,0
2024-01-17,1,1
2024-01-18,3,-1
2024-01-19,4,4
2024-01-20,1,1
2024-01-22,1,1
2024-01-23,1,1
2024-01-24,6,4
2024-01-25,4,2
2024-01-26,2,-2
2024-01-27,2,-2
2024-01-29,4,4
2024-01-30,2,0
2024-01-31,3,-1
2024-02-01,7,-3
2024-02-02,3,-1
2024-02-03,1,1
2024-02-05,1,1
2024-02-07,1,-1
2024-02-08,1,1
2024-02-09,21,-19
2024-02-10,1,1
2024-02-13,2,2
2024-02-14,1,1
2024-02-15,3,1
2024-02-18,1,1
2024-02-20,1,1
2024-02-21,2,0
2024-02-22,2,0
2024-02-24,1,-1
2024-02-26,3,1
2024-02-28,1,1
2024-02-29,2,0
2024-03-02,1,1
2024-03-04,1,1
2024-03-06,2,2
2024-03-07,1,1
2024-03-09,1,1
2024-03-10,1,1
2024-03-11,1,-1
2024-03-14,2,-2
2024-03-16,1,-1
2024-03-18,2,2
2024-03-20,1,-1
2024-03-21,1,1
2024-03-23,1,-1
2024-03-25,1,1
2024-03-27,1,1
2024-03-28,2,2
2024-03-30,1,1
2024-03-31,1,1
2024-04-01,1,1
2024-04-02,3,-3
2024-04-03,3,-1
2024-04-04,1,-1
2024-04-06,1,-1
2024-04-07,2,-2
2024-04-08,2,2
2024-04-10,1,1
2024-04-12,3,1
2024-04-13,1,-1
2024-04-15,2,0
2024-04-17,2,0
2024-04-18,1,-1
2024-04-19,1,1
2024-04-20,1,1
2024-04-21,1,-1
2024-04-22,2,2
2024-04-24,2,0
2024-04-25,6,4
2024-04-29,1,1
2024-05-01,4,2
2024-05-02,1,1
2024-05-07,1,1
2024-05-09,3,3
2024-05-10,1,-1
2024-05-13,2,0
2024-05-15,2,2
2024-05-21,3,3
2024-05-22,12,6
2024-05-23,1,1
2024-05-24,2,2
2024-05-25,1,-1
2024-05-27,1,-1
2024-05-28,2,2
2024-05-29,2,2
2024-06-01,1,1
2024-06-04,5,3
2024-06-05,2,2
2024-06-06,10,-2
2024-06-07,1,1
2024-06-12,1,1
2024-06-17,2,2
2024-06-24,2,2
2024-06-25,2,2
2024-07-08,2,0
2024-07-09,1,1
2024-07-11,2,0
2024-07-18,2,0
2024-07-19,2,0
2024-07-24,4,4
