formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-03,1,1
2023-08-07,1,-1
2023-08-09,1,1
2023-08-10,2,0
2023-08-11,1,1
2023-08-23,1,1
2023-08-29,1,-1
2023-08-30,1,-1
2023-09-01,1,-1
2023-09-04,1,1
2023-09-08,2,0
2023-09-19,1,1
2023-09-26,1,1
2023-09-27,1,-1
2023-09-28,1,1
2023-10-04,1,1
2023-10-11,1,1
2023-10-17,1,1
2023-10-22,7,-1
2023-10-23,8,0
2023-10-24,15,9
2023-10-25,3,-1
2023-11-01,1,1
2023-11-03,1,1
2023-11-08,2,2
2023-11-16,2,2
2023-11-22,2,-2
2023-11-23,1,-1
2023-11-30,2,-2
2023-12-06,1,-1
2023-12-13,1,1
2023-12-15,1,-1
2023-12-26,1,1
2024-01-03,1,1
2024-01-12,1,1
2024-01-17,1,1
2024-01-18,1,-1
2024-01-20,1,1
2024-01-31,1,-1
2024-02-03,1,-1
2024-02-05,2,0
2024-02-07,23,-17
2024-02-08,1,1
2024-02-09,1,1
2024-02-10,1,-1
2024-02-11,5,1
2024-02-12,3,-1
2024-02-13,5,-1
2024-02-14,3,3
2024-02-15,3,1
2024-02-17,1,-1
2024-02-21,1,1
2024-02-22,3,-1
2024-02-29,3,-1
2024-03-03,1,1
2024-03-05,1,1
2024-03-06,1,-1
2024-03-07,1,-1
2024-03-08,2,0
2024-03-11,2,2
2024-03-18,1,1
2024-03-19,1,1
2024-03-22,2,2
2024-03-23,1,-1
2024-03-28,2,-2
2024-03-30,1,1
2024-04-02,1,1
2024-04-05,1,-1
2024-04-08,2,-2
2024-04-09,1,-1
2024-04-10,3,3
2024-04-19,1,1
2024-04-21,5,-1
2024-04-22,7,-1
2024-04-23,8,0
2024-04-24,6,2
2024-05-03,1,1
2024-05-08,1,1
2024-05-09,3,1
2024-05-10,2,2
2024-05-13,1,1
2024-05-14,2,0
2024-05-27,3,1
2024-05-28,3,1
2024-05-29,2,0
2024-06-03,1,1
2024-06-04,2,2
2024-06-05,1,1
2024-06-07,1,1
2024-06-10,2,2
2024-06-12,1,1
2024-06-14,1,-1
2024-06-18,1,1
2024-06-25,1,1
2024-06-26,1,-1
2024-06-27,1,-1
2024-06-28,1,-1
2024-07-02,1,1
2024-07-04,1,1
2024-07-11,1,-1
2024-07-17,1,1
2024-07-18,3,-1
2024-07-19,1,-1
2024-07-21,6,-2
2024-07-22,4,0
2024-07-23,11,-3
2024-07-24,7,1
2024-07-25,1,1
