formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-04,2,2
2023-08-07,1,1
2023-08-29,1,1
2023-08-30,1,1
2023-08-31,1,-1
2023-09-01,2,0
2023-09-05,1,1
2023-09-06,1,1
2023-09-07,1,-1
2023-09-11,1,-1
2023-09-19,1,1
2023-09-26,1,-1
2023-09-28,2,0
2023-09-29,2,0
2023-10-03,1,1
2023-10-04,2,2
2023-10-09,1,-1
2023-10-10,1,1
2023-10-11,1,-1
2023-10-12,1,1
2023-10-16,2,2
2023-10-19,1,1
2023-10-20,1,1
2023-10-26,1,-1
2023-10-31,1,-1
2023-11-01,1,1
2023-11-02,1,1
2023-11-03,2,2
2023-11-04,1,1
2023-11-07,1,-1
2023-11-12,1,-1
2023-11-13,3,1
2023-11-16,1,-1
2023-11-22,1,-1
2023-11-29,2,-2
2023-11-30,1,-1
2023-12-01,1,1
2023-12-03,2,0
2023-12-04,1,1
2023-12-07,2,2
2023-12-10,1,1
2023-12-11,1,1
2023-12-15,1,-1
2023-12-18,1,1
2023-12-19,2,0
2024-01-03,1,1
2024-01-04,1,1
2024-01-05,3,-1
2024-01-07,1,-1
2024-01-15,1,-1
2024-01-16,1,-1
2024-01-23,2,0
2024-01-24,1,-1
2024-01-26,1,-1
2024-01-29,1,1
2024-01-31,1,1
2024-02-01,1,1
2024-02-05,1,-1
2024-02-06,2,2
2024-02-07,1,-1
2024-02-11,1,1
2024-02-12,3,1
2024-02-14,2,0
2024-02-15,1,-1
2024-02-19,1,1
2024-02-20,2,2
2024-02-22,1,1
2024-02-29,2,2
2024-03-03,1,1
2024-03-04,2,0
2024-03-28,1,1
2024-04-04,2,2
2024-04-21,1,1
2024-04-30,1,-1
2024-05-01,1,1
2024-05-03,1,1
2024-05-06,1,1
2024-05-28,1,-1
2024-05-30,1,-1
2024-05-31,1,1
2024-06-04,2,2
2024-06-26,1,-1
2024-06-28,1,1
2024-07-03,1,1
2024-07-19,1,1
