formatted_date,articles,sentiment
2023-08-04,2,0
2023-08-10,1,-1
2023-08-29,2,0
2023-08-30,1,1
2023-09-01,1,1
2023-09-04,1,1
2023-09-26,1,-1
2023-09-29,1,1
2023-10-02,2,2
2023-10-03,1,-1
2023-10-04,1,1
2023-10-10,1,-1
2023-10-13,1,1
2023-10-17,1,1
2023-10-20,2,0
2023-10-23,1,-1
2023-10-26,1,-1
2023-11-01,1,1
2023-11-02,1,1
2023-11-03,1,1
2023-11-09,1,1
2023-11-14,1,1
2023-11-15,1,1
2023-11-16,1,1
2023-11-19,1,-1
2023-11-20,1,1
2023-11-22,1,1
2023-11-28,1,1
2023-11-29,1,1
2023-12-02,1,-1
2023-12-05,1,1
2023-12-06,2,0
2023-12-11,1,-1
2024-01-04,2,0
2024-01-05,1,1
2024-01-08,1,-1
2024-01-10,2,0
2024-01-11,1,-1
2024-01-16,1,1
2024-01-18,2,-2
2024-01-19,1,1
2024-01-22,1,1
2024-01-23,1,1
2024-01-26,1,-1
2024-01-29,1,-1
2024-02-05,1,-1
2024-02-09,1,1
2024-02-16,1,1
2024-02-19,1,1
2024-02-20,2,0
2024-02-21,1,-1
2024-02-22,1,1
2024-02-27,1,-1
2024-03-01,2,0
2024-03-04,2,0
2024-03-05,1,-1
2024-03-06,1,1
2024-04-01,1,1
2024-04-02,1,1
2024-04-08,1,1
2024-04-11,2,2
2024-04-15,2,2
2024-04-16,1,-1
2024-05-01,1,1
2024-05-02,1,1
2024-05-20,2,2
2024-05-23,1,1
2024-05-30,1,-1
2024-05-31,2,2
2024-06-03,1,1
2024-06-04,3,3
2024-06-05,1,1
2024-06-10,1,1
2024-06-11,2,0
2024-06-13,3,3
2024-06-14,2,2
2024-06-21,1,1
2024-06-25,1,1
2024-06-28,3,3
2024-07-01,1,1
2024-07-04,2,2
2024-07-23,1,1
2024-07-24,1,1
