formatted_date,articles,sentiment
2023-08-03,1,1
2023-08-04,1,1
2023-08-08,4,2
2023-08-09,3,-3
2023-08-10,1,-1
2023-08-11,1,1
2023-08-16,1,1
2023-08-21,1,1
2023-08-24,1,1
2023-09-04,1,-1
2023-09-05,1,1
2023-09-06,1,1
2023-10-03,3,-1
2023-10-04,5,1
2023-10-05,21,5
2023-10-07,1,1
2023-10-09,1,1
2023-10-18,1,1
2023-10-23,1,-1
2023-11-01,1,1
2023-11-03,1,1
2023-11-06,2,0
2023-11-07,3,-1
2023-11-08,2,0
2023-11-09,3,-1
2023-11-13,1,1
2023-11-15,3,3
2023-11-16,2,-2
2023-11-17,1,-1
2023-11-20,3,-1
2023-11-27,1,1
2023-11-29,2,2
2023-12-02,1,-1
2023-12-04,1,1
2023-12-05,3,-1
2023-12-07,1,-1
2023-12-08,1,-1
2023-12-10,3,3
2023-12-11,2,2
2023-12-15,1,1
2023-12-19,1,-1
2024-01-01,2,2
2024-01-02,1,1
2024-01-03,4,0
2024-01-07,7,3
2024-01-08,2,2
2024-01-09,1,1
2024-01-22,1,1
2024-01-23,2,2
2024-01-26,1,-1
2024-01-29,2,2
2024-01-30,5,5
2024-01-31,1,1
2024-02-07,19,-15
2024-02-09,1,1
2024-03-01,1,-1
2024-03-03,2,2
2024-03-05,2,2
2024-03-06,1,1
2024-03-11,3,-1
2024-03-12,6,4
2024-03-13,9,1
2024-03-14,2,0
2024-03-17,1,-1
2024-03-20,2,0
2024-03-21,1,-1
2024-04-02,3,3
2024-04-03,2,0
2024-04-10,1,1
2024-04-17,2,2
2024-04-22,1,1
2024-04-29,1,1
2024-05-01,2,2
2024-05-02,2,2
2024-05-03,2,2
2024-05-06,6,-2
2024-05-07,6,2
2024-05-08,9,1
2024-05-09,2,-2
2024-05-11,1,-1
2024-05-12,1,-1
2024-05-14,1,1
2024-05-19,1,1
2024-05-21,1,1
2024-05-22,4,4
2024-05-23,1,1
2024-05-24,1,-1
2024-05-29,3,1
2024-06-03,1,1
2024-06-04,1,1
2024-06-10,2,2
2024-06-11,4,4
2024-06-12,1,-1
2024-06-13,4,0
2024-06-14,1,1
2024-06-17,1,-1
2024-06-26,2,2
2024-06-27,1,1
2024-06-28,1,-1
2024-07-09,1,-1
2024-07-10,1,-1
2024-07-17,1,1
