formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-11,2,0
2023-08-13,1,1
2023-08-14,4,0
2023-08-15,1,1
2023-08-16,1,-1
2023-08-17,1,-1
2023-08-18,1,-1
2023-08-19,1,1
2023-08-21,1,-1
2023-08-22,1,1
2023-08-24,1,1
2023-09-11,1,-1
2023-09-14,1,-1
2023-09-22,1,1
2023-09-25,1,-1
2023-10-23,1,-1
2023-10-24,1,-1
2023-10-25,1,1
2023-10-30,1,-1
2023-11-06,1,-1
2023-11-13,2,0
2023-11-14,7,1
2023-11-16,1,1
2023-11-17,1,-1
2023-11-29,3,-1
2023-11-30,1,1
2023-12-02,2,2
2023-12-06,5,-1
2023-12-07,1,-1
2023-12-11,1,1
2023-12-12,1,1
2024-01-07,1,-1
2024-02-04,1,-1
2024-02-09,1,-1
2024-02-10,2,-2
2024-02-20,2,2
2024-03-04,3,-1
2024-03-09,1,-1
2024-03-10,2,-2
2024-03-11,2,0
2024-03-12,2,-2
2024-03-13,1,-1
2024-03-18,1,-1
2024-03-20,1,1
2024-03-22,1,-1
2024-04-08,1,-1
2024-04-09,1,1
2024-04-11,1,1
2024-04-23,1,-1
2024-05-13,8,2
2024-05-14,1,-1
2024-05-15,1,-1
2024-05-16,1,-1
2024-05-17,1,1
2024-05-29,1,1
2024-06-06,2,-2
2024-06-26,1,1
2024-07-16,1,1
2024-07-17,1,1
2024-07-22,1,-1
2024-07-23,1,-1
