formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-02,1,-1
2023-08-03,11,3
2023-08-04,7,-1
2023-08-05,1,1
2023-08-06,2,0
2023-08-07,5,3
2023-08-08,1,1
2023-08-09,1,1
2023-08-14,2,0
2023-08-15,1,-1
2023-08-16,1,1
2023-08-22,1,1
2023-08-23,2,2
2023-08-24,2,2
2023-08-25,1,-1
2023-08-28,2,2
2023-08-29,2,2
2023-08-30,1,1
2023-08-31,2,0
2023-09-01,2,0
2023-09-05,1,1
2023-09-06,1,1
2023-09-08,1,-1
2023-09-09,1,1
2023-09-10,1,1
2023-09-13,1,1
2023-09-19,1,1
2023-09-23,1,1
2023-10-02,1,-1
2023-10-03,6,6
2023-10-04,5,1
2023-10-05,3,1
2023-10-06,2,-2
2023-10-08,1,-1
2023-10-09,1,1
2023-10-10,5,-1
2023-10-11,1,-1
2023-10-12,2,2
2023-10-13,4,-2
2023-10-14,1,1
2023-10-16,2,-2
2023-10-18,9,5
2023-10-19,2,2
2023-10-21,1,1
2023-10-23,4,0
2023-10-26,2,2
2023-10-28,1,1
2023-10-30,2,2
2023-10-31,2,2
2023-11-02,5,5
2023-11-03,1,-1
2023-11-06,2,2
2023-11-08,3,-1
2023-11-09,11,1
2023-11-10,7,-1
2023-11-12,1,-1
2023-11-13,3,-1
2023-11-14,8,4
2023-11-15,3,3
2023-11-17,1,1
2023-11-19,1,-1
2023-11-20,2,2
2023-11-24,4,-2
2023-11-28,3,-1
2023-12-11,3,-3
2023-12-12,1,-1
2023-12-13,2,2
2023-12-14,1,-1
2023-12-16,1,1
2023-12-27,1,-1
2023-12-28,2,0
2023-12-29,3,-3
2023-12-31,2,0
2024-01-02,1,1
2024-01-04,3,1
2024-01-05,4,-2
2024-01-07,1,-1
2024-01-08,8,8
2024-01-09,1,1
2024-01-12,1,-1
2024-01-13,1,1
2024-01-16,1,1
2024-01-18,2,0
2024-01-21,1,1
2024-01-22,2,-2
2024-01-25,2,2
2024-01-27,2,0
2024-01-29,1,-1
2024-01-30,3,1
2024-01-31,2,2
2024-02-01,1,1
2024-02-05,3,-1
2024-02-07,40,-18
2024-02-08,2,0
2024-02-10,1,1
2024-02-13,4,2
2024-02-14,2,0
2024-02-15,7,-5
2024-02-16,2,2
2024-02-17,1,1
2024-02-18,1,-1
2024-02-19,1,1
2024-02-20,1,1
2024-02-21,6,2
2024-02-22,8,0
2024-02-23,10,2
2024-02-24,2,0
2024-02-25,4,2
2024-02-26,3,1
2024-02-27,3,1
2024-02-28,1,-1
2024-02-29,2,-2
2024-03-03,1,1
2024-03-06,1,1
2024-03-09,1,-1
2024-03-18,2,0
2024-03-19,1,1
2024-03-21,2,2
2024-03-22,4,2
2024-03-28,1,1
2024-03-29,1,1
2024-04-02,1,1
2024-04-06,1,-1
2024-04-08,1,1
2024-04-09,1,1
2024-04-12,1,1
2024-04-14,2,-2
2024-04-15,1,1
2024-04-18,2,-2
2024-04-19,1,-1
2024-04-25,2,-2
2024-04-26,1,1
2024-04-29,2,2
2024-04-30,1,1
2024-05-02,2,0
2024-05-03,3,1
2024-05-05,1,1
2024-05-08,3,1
2024-05-09,9,-3
2024-05-10,12,8
2024-05-12,2,2
2024-05-13,2,2
2024-05-14,4,2
2024-05-22,1,1
2024-05-23,1,-1
2024-05-25,2,2
2024-05-28,1,1
2024-05-29,1,1
2024-05-30,1,-1
2024-06-02,3,1
2024-06-03,13,7
2024-06-04,7,5
2024-06-05,3,1
2024-06-06,4,4
2024-06-07,1,1
2024-06-08,1,1
2024-06-09,1,1
2024-06-10,3,-1
2024-06-14,4,0
2024-06-15,1,1
2024-06-17,2,2
2024-06-20,1,-1
2024-06-21,1,1
2024-06-23,2,0
2024-06-24,7,1
2024-06-25,6,0
2024-06-26,9,-1
2024-06-27,4,0
2024-06-28,2,0
2024-07-01,1,1
2024-07-02,2,-2
2024-07-05,1,-1
2024-07-08,2,0
2024-07-09,3,-3
2024-07-11,1,1
2024-07-16,1,1
2024-07-17,3,-1
2024-07-22,1,1
2024-07-23,1,-1
2024-07-24,1,1
2024-07-25,1,1
