formatted_date,articles,sentiment
2023-08-03,3,-1
2023-08-07,1,1
2023-08-08,3,3
2023-08-31,2,0
2023-09-05,1,1
2023-09-06,1,-1
2023-09-07,1,1
2023-09-12,2,2
2023-09-26,1,1
2023-09-27,1,1
2023-10-05,1,1
2023-10-17,2,0
2023-10-19,1,1
2023-11-01,1,1
2023-11-02,3,-1
2023-11-03,2,2
2023-11-07,1,1
2023-11-14,1,1
2023-11-15,1,-1
2023-11-20,1,1
2023-12-13,1,1
2023-12-14,11,3
2023-12-15,1,-1
2023-12-21,2,0
2023-12-25,1,1
2024-01-08,1,-1
2024-01-17,1,1
2024-01-18,1,1
2024-01-21,1,1
2024-02-15,1,-1
2024-03-05,4,2
2024-03-20,1,1
2024-03-21,11,-5
2024-03-22,2,0
2024-03-23,1,1
2024-03-27,3,-1
2024-04-02,1,1
2024-04-04,2,2
2024-04-08,3,1
2024-04-24,1,1
2024-05-01,1,1
2024-05-02,3,-1
2024-05-03,2,2
2024-05-28,1,1
2024-05-29,1,1
2024-05-30,1,1
2024-05-31,1,1
2024-06-03,1,1
2024-06-20,1,-1
