formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-03,1,-1
2023-08-04,1,-1
2023-08-11,2,0
2023-08-26,1,1
2023-09-07,1,1
2023-09-11,2,2
2023-09-14,1,-1
2023-09-15,1,1
2023-09-18,5,-3
2023-09-19,4,0
2023-09-22,1,-1
2023-09-24,1,1
2023-09-29,1,1
2023-10-12,1,-1
2023-10-13,1,-1
2023-10-18,3,1
2023-10-19,5,-1
2023-10-20,3,-1
2023-10-21,2,-2
2023-10-23,4,-4
2023-10-24,2,2
2023-10-26,1,-1
2023-10-29,1,1
2023-10-31,1,1
2023-11-01,1,1
2023-11-08,1,-1
2023-12-04,1,-1
2023-12-06,1,-1
2024-01-04,1,-1
2024-01-05,2,0
2024-01-10,2,0
2024-01-12,1,-1
2024-01-14,1,-1
2024-01-17,5,3
2024-01-18,7,-1
2024-01-19,1,-1
2024-01-20,1,-1
2024-01-21,2,0
2024-01-22,6,6
2024-01-23,1,-1
2024-01-26,1,1
2024-01-28,1,-1
2024-01-31,1,1
2024-02-01,1,-1
2024-02-05,1,1
2024-02-07,25,-23
2024-02-12,1,1
2024-02-13,1,1
2024-02-14,1,1
2024-02-15,1,-1
2024-02-22,1,1
2024-02-28,1,1
2024-03-18,1,1
2024-03-19,2,0
2024-03-21,1,1
2024-03-22,1,-1
2024-04-10,1,-1
2024-04-11,1,-1
2024-04-15,1,-1
2024-04-16,1,1
2024-04-17,4,4
2024-04-18,6,-4
2024-04-19,5,1
2024-04-20,2,-2
2024-04-22,3,1
2024-04-24,1,-1
2024-04-28,1,1
2024-05-06,1,1
2024-05-15,1,-1
2024-05-16,1,1
2024-05-19,1,-1
2024-05-22,2,-2
2024-05-23,1,-1
2024-05-24,1,-1
2024-05-30,1,1
2024-05-31,2,0
2024-06-08,1,1
2024-06-13,1,1
2024-06-14,1,-1
2024-06-24,2,0
2024-06-28,1,-1
2024-07-02,1,-1
2024-07-11,1,-1
2024-07-12,1,1
2024-07-17,2,0
2024-07-18,9,-3
2024-07-19,3,-3
2024-07-20,2,0
2024-07-23,1,-1
2024-07-25,1,1
