formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-08,1,1
2023-08-10,1,1
2023-08-11,6,4
2023-08-14,4,2
2023-08-18,1,1
2023-08-28,1,-1
2023-09-07,1,1
2023-09-11,1,1
2023-09-26,2,2
2023-09-27,10,2
2023-10-06,1,1
2023-10-26,1,1
2023-11-01,4,4
2023-11-02,3,3
2023-11-03,1,1
2023-11-06,1,1
2023-11-10,1,1
2023-11-12,1,-1
2023-11-13,4,2
2023-11-14,1,1
2023-11-20,1,1
2023-11-27,4,4
2023-11-28,1,1
2023-11-30,2,2
2023-12-03,1,-1
2023-12-05,1,-1
2023-12-06,1,-1
2024-01-04,2,0
2024-01-09,2,-2
2024-01-24,1,1
2024-02-05,2,2
2024-02-07,1,-1
2024-02-08,6,-4
2024-02-14,3,1
2024-02-15,2,0
2024-02-23,1,1
2024-02-25,1,1
2024-02-26,1,1
2024-03-08,4,2
2024-03-10,1,-1
2024-03-11,2,2
2024-03-13,1,-1
2024-03-15,1,-1
2024-03-20,1,-1
2024-03-26,2,-2
2024-04-01,2,0
2024-04-02,1,-1
2024-04-10,1,-1
2024-04-11,2,0
2024-04-16,1,1
2024-04-22,1,1
2024-05-03,1,1
2024-05-06,3,3
2024-05-09,1,1
2024-05-10,4,0
2024-05-11,1,-1
2024-05-12,1,1
2024-05-13,2,2
2024-05-22,1,-1
2024-06-06,2,2
2024-06-13,1,1
2024-07-10,1,-1
