formatted_date,articles,sentiment
2023-08-02,3,1
2023-08-03,6,0
2023-08-04,2,-2
2023-08-05,1,-1
2023-08-07,1,-1
2023-08-09,1,1
2023-08-18,1,-1
2023-08-31,1,-1
2023-09-05,2,2
2023-09-06,1,1
2023-09-18,1,1
2023-09-19,2,0
2023-09-20,1,-1
2023-09-27,3,1
2023-10-03,1,1
2023-10-17,1,-1
2023-10-25,1,1
2023-11-01,1,1
2023-11-02,4,0
2023-11-03,1,-1
2023-11-05,1,-1
2023-11-06,1,-1
2023-11-10,1,-1
2023-11-19,1,1
2023-11-23,1,-1
2023-12-06,1,-1
2023-12-19,2,0
2024-02-08,20,-20
2024-02-13,1,1
2024-02-26,1,1
2024-02-27,1,-1
2024-03-03,1,-1
2024-03-04,6,0
2024-03-05,5,-5
2024-03-07,1,-1
2024-03-13,1,1
2024-04-24,1,1
2024-05-01,2,2
2024-05-02,7,-3
2024-05-03,2,-2
2024-05-04,2,-2
2024-06-03,1,-1
2024-06-07,1,-1
2024-06-14,2,2
2024-07-24,1,1
