formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-08,4,-2
2023-08-14,2,0
2023-08-15,2,-2
2023-08-16,1,1
2023-08-17,3,-1
2023-08-29,2,-2
2023-08-31,3,-1
2023-09-05,1,-1
2023-09-06,1,-1
2023-09-07,1,1
2023-09-11,1,-1
2023-09-13,1,-1
2023-09-15,1,-1
2023-09-19,1,-1
2023-09-21,1,1
2023-09-26,1,-1
2023-09-27,1,1
2023-09-28,1,1
2023-10-02,1,1
2023-10-03,1,1
2023-10-04,2,2
2023-10-05,2,0
2023-10-11,1,-1
2023-10-12,1,-1
2023-10-17,1,1
2023-10-20,1,-1
2023-10-23,1,-1
2023-10-24,10,-6
2023-10-25,3,-1
2023-10-26,5,3
2023-10-27,4,2
2023-10-31,1,1
2023-11-04,1,1
2023-11-13,2,-2
2023-11-14,1,-1
2023-11-15,3,-1
2023-11-16,2,-2
2023-11-19,2,0
2023-11-20,1,-1
2023-11-21,1,-1
2023-11-26,1,1
2023-11-29,2,2
2023-12-01,2,0
2023-12-04,1,1
2023-12-05,1,1
2023-12-07,1,-1
2023-12-09,1,-1
2023-12-14,1,1
2023-12-15,1,1
2023-12-26,2,-2
2024-01-04,1,1
2024-01-09,1,1
2024-01-11,1,-1
2024-01-17,1,-1
2024-01-18,2,-2
2024-01-22,4,2
2024-01-23,11,-1
2024-01-24,3,-1
2024-01-25,1,-1
2024-01-31,1,1
2024-02-02,1,-1
2024-02-07,1,-1
2024-02-08,24,-22
2024-02-11,1,-1
2024-02-13,1,1
2024-02-15,1,1
2024-02-20,3,1
2024-02-21,2,2
2024-02-22,6,-2
2024-02-25,1,-1
2024-02-28,2,-2
2024-03-04,1,-1
2024-03-06,1,1
2024-03-07,1,-1
2024-03-15,1,-1
2024-03-27,1,1
2024-04-01,5,-1
2024-04-02,3,-3
2024-04-03,1,-1
2024-04-04,1,1
2024-04-09,1,1
2024-04-10,1,-1
2024-04-16,2,-2
2024-04-21,1,-1
2024-04-22,1,1
2024-04-23,12,-4
2024-04-24,7,-1
2024-04-25,1,-1
2024-04-26,1,1
2024-04-29,1,-1
2024-04-30,1,1
2024-05-06,1,-1
2024-05-07,1,-1
2024-05-09,1,1
2024-05-14,1,-1
2024-05-15,1,1
2024-05-16,2,-2
2024-05-20,1,-1
2024-05-24,1,-1
2024-06-03,1,1
2024-06-05,1,1
2024-06-06,1,-1
2024-06-07,1,-1
2024-06-11,1,1
2024-06-12,1,-1
2024-06-20,1,-1
2024-06-24,3,3
2024-07-02,1,1
2024-07-16,3,1
2024-07-18,1,1
2024-07-22,2,0
2024-07-23,12,-4
2024-07-24,3,1
