formatted_date,articles,sentiment
2023-08-02,2,0
2023-08-03,11,-1
2023-08-04,12,-4
2023-08-07,1,-1
2023-08-10,3,1
2023-08-14,5,1
2023-08-15,2,-2
2023-08-17,1,1
2023-08-20,1,-1
2023-08-25,1,-1
2023-08-27,1,1
2023-08-29,1,1
2023-09-01,1,-1
2023-09-06,1,-1
2023-09-07,1,1
2023-09-08,1,-1
2023-09-11,1,-1
2023-09-14,2,0
2023-09-18,1,-1
2023-09-19,1,-1
2023-09-25,1,1
2023-09-28,1,1
2023-09-29,1,-1
2023-10-02,1,1
2023-10-05,2,-2
2023-10-06,1,1
2023-10-08,2,-2
2023-10-10,1,1
2023-10-11,1,1
2023-10-13,1,-1
2023-10-16,1,1
2023-10-17,1,-1
2023-10-18,1,1
2023-10-23,5,-1
2023-10-25,1,-1
2023-10-29,1,-1
2023-11-01,3,-1
2023-11-02,7,-3
2023-11-03,4,-4
2023-11-05,1,-1
2023-11-06,2,2
2023-11-07,2,0
2023-11-08,1,-1
2023-11-10,1,-1
2023-11-13,1,-1
2023-11-22,1,1
2023-11-23,1,1
2023-12-04,3,1
2023-12-05,1,-1
2023-12-13,1,-1
2023-12-14,1,1
2023-12-15,3,1
2023-12-27,1,1
2024-01-02,1,-1
2024-01-04,3,1
2024-01-08,1,1
2024-01-10,1,1
2024-01-11,1,1
2024-01-15,1,1
2024-01-17,1,1
2024-01-22,1,-1
2024-01-24,1,1
2024-02-05,1,1
2024-02-10,44,-34
2024-02-12,1,1
2024-02-14,2,-2
2024-02-19,2,0
2024-02-20,5,3
2024-02-21,8,-2
2024-02-22,6,0
2024-02-23,1,1
2024-02-24,1,1
2024-02-25,1,-1
2024-02-27,1,1
2024-02-28,5,-3
2024-03-05,2,0
2024-03-07,1,1
2024-03-08,1,1
2024-03-13,1,1
2024-03-16,1,1
2024-03-19,1,1
2024-03-20,2,0
2024-03-21,1,1
2024-03-23,1,1
2024-03-26,1,-1
2024-03-28,1,-1
2024-04-03,1,1
2024-04-05,1,-1
2024-04-08,1,1
2024-04-09,1,1
2024-04-10,1,1
2024-04-11,3,1
2024-04-15,1,1
2024-04-16,1,-1
2024-04-22,1,-1
2024-04-23,1,1
2024-04-26,1,1
2024-04-29,1,-1
2024-04-30,1,1
2024-05-01,4,0
2024-05-02,10,0
2024-05-03,4,-2
2024-05-05,1,-1
2024-05-06,1,1
2024-05-07,1,-1
2024-05-08,2,0
2024-05-15,2,0
2024-05-16,1,-1
2024-05-17,2,0
2024-05-23,1,-1
2024-05-24,1,-1
2024-05-28,1,1
2024-06-03,2,2
2024-06-07,1,1
2024-06-09,1,-1
2024-06-10,2,0
2024-06-11,2,0
2024-06-16,1,1
2024-06-20,1,1
2024-06-21,1,-1
2024-06-28,1,1
2024-07-09,1,1
2024-07-15,2,-2
2024-07-17,2,0
2024-07-18,1,1
2024-07-19,1,1
2024-07-25,2,2
